"","S","L","Top","Bas","Int","Can","Herb","Loop","Omn","ChLen","ChSD","ChNum","TL","MxSim","VulSD","GenSD","LinkSD","Path","Clust"
"1",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.309178743961353,0.536231884057971,0.0821256038647343,1.61363636363636,0.488770497865432,2.12057393120585,2.43244698524496,0.914501914025369,0.447191711917563,0.787522551737532,0.743883596310639,1.43354970960027,0.314648645574046
"2",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.314009661835749,0.536231884057971,0.0821256038647343,1.61240310077519,0.489101176895241,2.11058971029925,2.43590247082654,0.910619590226432,0.44782744426901,0.788649035200513,0.745264654158152,1.4327975376197,0.314299498014055
"3",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.328502415458937,0.536231884057971,0.0821256038647343,1.59541984732824,0.492694724553707,2.11727129565576,2.43591938488589,0.916814469314932,0.446478309938747,0.790112364109267,0.745752016442123,1.43345293012131,0.316554776773105
"4",207,3912,0.1256038647343,0.0531400966183575,0.821256038647343,0.0821256038647343,0.526570048309179,0.304347826086957,0.0821256038647343,1.58273381294964,0.494891007991081,2.14301480025409,2.43289949168706,0.913074468398098,0.446746928246995,0.789339786567061,0.744832198177915,1.42770876466529,0.315179578698269
"5",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.318840579710145,0.536231884057971,0.0821256038647343,1.59398496240601,0.492944061995888,2.12385164096709,2.43441327582176,0.913857747120866,0.445932901464003,0.789404920589936,0.7443442336396,1.43325927191933,0.315765536312457
"6",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.328502415458937,0.536231884057971,0.0821256038647343,1.6,0.491793112107397,2.11394335230684,2.43101744762123,0.918675681115944,0.446240255832095,0.789943156141169,0.745774997363223,1.43316239316239,0.315973215148748
"7",207,3912,0.1256038647343,0.0579710144927536,0.816425120772947,0.0821256038647343,0.314009661835749,0.536231884057971,0.0821256038647343,1.53793103448276,0.500287273795605,2.16136800223497,2.42679360339581,0.91324748109493,0.443891303567719,0.791027194959474,0.74500705103622,1.4337946352298,0.314036332998725
"8",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.309178743961353,0.536231884057971,0.0821256038647343,1.60606060606061,0.490483104386053,2.12057393120585,2.43239969774449,0.917291955833954,0.447122722763491,0.78839256470374,0.744491577390984,1.43352699931647,0.315473381379863
"9",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.323671497584541,0.536231884057971,0.0821256038647343,1.6171875,0.487983053629858,2.10720996964787,2.43419396377194,0.910188052219981,0.447099724013182,0.789061820994116,0.745416414310811,1.43325927191933,0.314497894090913
"10",207,3912,0.1256038647343,0.0531400966183575,0.821256038647343,0.0821256038647343,0.314009661835749,0.536231884057971,0.0821256038647343,1.57777777777778,0.495753108188549,2.13033376849501,2.42819876956447,0.913083910338055,0.444894012842682,0.790077657736844,0.744615876002575,1.43316239316239,0.314430015240581
"11",207,3912,0.1256038647343,0.0531400966183575,0.821256038647343,0.0821256038647343,0.309178743961353,0.531400966183575,0.0821256038647343,1.60416666666667,0.49073585391907,2.15836249209525,2.42696140170506,0.915182955555085,0.443798631575124,0.790060303978904,0.743607076946263,1.43306548127885,0.31358728856905
"12",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.318840579710145,0.536231884057971,0.0821256038647343,1.59090909090909,0.493539103450053,2.12057393120585,2.43396450202295,0.916748087591068,0.445348343778018,0.788983625532181,0.743989568150871,1.43325927191933,0.315545979285358
