"","S","L","Top","Bas","Int","Can","Herb","Loop","Omn","ChLen","ChSD","ChNum","TL","MxSim","VulSD","GenSD","LinkSD","Path","Clust"
"1",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.61240310077519,0.489101176895241,2.11058971029925,2.43219643904729,0.914243728736476,0.449904512531316,0.787191694692541,0.745099062375051,1.43335611756664,0.314768446187886
"2",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.6030534351145,0.491142926291117,2.11727129565576,2.43278690359037,0.916243856398004,0.447934587302052,0.787648763187,0.744224495361769,1.43335611756664,0.313260135246343
"3",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.61654135338346,0.488066756972641,2.12385164096709,2.43278608339222,0.916141324429416,0.44936326258205,0.786555710414655,0.744238312300069,1.43328207756706,0.311050906676738
"4",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.61068702290076,0.489466256933461,2.11727129565576,2.43396596303402,0.916211691577884,0.449950222128614,0.787557370709329,0.745402619210056,1.43328207756706,0.311216830579412
"5",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.61068702290076,0.489466256933461,2.11727129565576,2.43209303580072,0.914156000927143,0.448148796521147,0.787487731226205,0.744206072378331,1.43591934381408,0.311731497098835
"6",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.62307692307692,0.486490112639389,2.11394335230684,2.43280822534064,0.916768959268544,0.449447160877179,0.787518199257814,0.744956439955729,1.43316239316239,0.313118652805974
"7",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.309178743961353,0.536231884057971,0.0821256038647343,1.61832061068702,0.4876634284986,2.11727129565576,2.43291297346574,0.916236717437351,0.44950816798358,0.787409379445756,0.744841401983264,1.43267750213858,0.312746568194928
"8",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.309178743961353,0.536231884057971,0.0821256038647343,1.61068702290076,0.489466256933462,2.11727129565576,2.43222207708079,0.915982747991626,0.449340378510112,0.787313605569475,0.744905825436572,1.4327745466986,0.312340558752242
"9",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.309178743961353,0.536231884057971,0.0821256038647343,1.62307692307692,0.502171788997428,2.11394335230684,2.43302101680954,0.912854865360854,0.450064475811478,0.78812296340026,0.745935843986922,1.43323645067533,0.315007316326944
"10",207,3912,0.1256038647343,0.0483091787439614,0.826086956521739,0.0821256038647343,0.304347826086957,0.536231884057971,0.0821256038647343,1.59398496240601,0.492944061995888,2.12385164096709,2.43355858085173,0.916200183616888,0.446992380865398,0.788292562075066,0.744086311867607,1.43630464480874,0.313697758424054
