"","S","L","Top","Bas","Int","Can","Herb","Omn","Loop","ChLen","ChSD","ChNum","TL","MxSim","VulSD","GenSD","LinkSD","Path","Clust"
"1",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.72514619883041,0.48485491583943,2.53402610605613,2.47550631317713,0.943009896044477,0.365088425075891,0.819342873090539,0.71806583190213,1.47184771219001,0.378452004099888
"2",419,18679,0.0787589498806683,0.0381861575178998,0.883054892601432,0.0644391408114559,0.310262529832936,0.563245823389022,0.0715990453460621,1.68852459016393,0.497918415715603,2.56348108539441,2.47178360766887,0.944217178854398,0.36426664003418,0.817769894331815,0.715558986103936,1.47183123188153,0.379129022546879
"3",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.71637426900585,0.476695320332478,2.53402610605613,2.47491802602837,0.944452671373448,0.365534799230596,0.818787718150711,0.717768741611188,1.47186812419237,0.378271415107523
"4",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.71345029239766,0.478015597038051,2.53402610605613,2.47592023498949,0.94477699646679,0.36458591207696,0.81926495986622,0.717690761377512,1.47181278379322,0.377864109186096
"5",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.73020527859238,0.470227997360287,2.5327543789925,2.47652097490855,0.943539561171564,0.365285592603421,0.8190215717876,0.717963023074106,1.47182926403297,0.378154507252942
"6",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.70760233918129,0.492644530255836,2.53402610605613,2.47481384765406,0.943652056129356,0.365022955169186,0.819075869477315,0.717761997709436,1.47191953059514,0.378852392575777
"7",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.7280701754386,0.483482377276786,2.53402610605613,2.47568131797964,0.942156887424746,0.365910357935397,0.819147152816042,0.718336687966164,1.47191364493817,0.378379172816357
"8",419,18679,0.0787589498806683,0.0381861575178998,0.883054892601432,0.0644391408114559,0.315035799522673,0.563245823389022,0.0715990453460621,1.70684931506849,0.517901717288265,2.56229286445647,2.47390549899571,0.94423826173153,0.36388447551748,0.818146997875765,0.715760994646072,1.47201453427433,0.379518660047089
"9",419,18679,0.081145584725537,0.035799522673031,0.883054892601432,0.0644391408114559,0.312649164677804,0.563245823389022,0.0715990453460621,1.6986301369863,0.477082810872417,2.56229286445647,2.4756675896155,0.946690104172519,0.363553384079234,0.817491567485342,0.714968659420482,1.47183319945517,0.378899781891003
"10",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.71929824561404,0.481483020529797,2.53402610605613,2.47504291383414,0.943258813326968,0.365787971467666,0.81899460629105,0.718142086319418,1.47305556525687,0.378263409922575
"11",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.72514619883041,0.466357139428328,2.53402610605613,2.47492918416268,0.943746620155905,0.365060249593234,0.818893754852168,0.717716474715142,1.47185164489767,0.37741534600117
"12",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.72514619883041,0.525490254799016,2.53402610605613,2.47517968919938,0.942883167616561,0.365487620320062,0.81939345733105,0.7183063639047,1.47206791740908,0.378951310724328
"13",419,18679,0.0787589498806683,0.035799522673031,0.885441527446301,0.0644391408114559,0.317422434367542,0.563245823389022,0.0715990453460621,1.73607038123167,0.485817486640848,2.5327543789925,2.47566049884952,0.9430739476381,0.364284867797231,0.817714531818078,0.715524820358056,1.47294890154029,0.379039402642202
"14",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.72514619883041,0.472603516845853,2.53402610605613,2.47457478181521,0.943244945477767,0.365603487458842,0.818935870150125,0.717971871953864,1.47211649264937,0.378424189182906
"15",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.73313782991202,0.505020507801399,2.5327543789925,2.47554128328134,0.94421486221933,0.365237553182734,0.818893385410146,0.717667997981991,1.47235127676669,0.378558085949804
"16",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.71637426900585,0.470503268625827,2.53402610605613,2.47543727900464,0.944477328134973,0.364870422753561,0.819083995352514,0.717723219044639,1.47188656841517,0.377727187047983
"17",419,18679,0.081145584725537,0.0334128878281623,0.885441527446301,0.0644391408114559,0.315035799522673,0.563245823389022,0.0715990453460621,1.72058823529412,0.468651118901485,2.53147891704225,2.47797796282956,0.945198289523295,0.364678199578632,0.817518518391945,0.71551638412028,1.4720447005413,0.379284637920723
"18",419,18679,0.0787589498806683,0.035799522673031,0.885441527446301,0.0644391408114559,0.312649164677804,0.563245823389022,0.0715990453460621,1.71260997067449,0.472277887807653,2.5327543789925,2.47684607252144,0.944622124335458,0.363555874613578,0.817534762344862,0.714902802934322,1.47186615905836,0.378707669711003
"19",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.71847507331378,0.469585571473034,2.5327543789925,2.47562016479428,0.944531373175786,0.365684572612053,0.819104309687835,0.718165255947232,1.47211454513707,0.378281890430766
"20",420,18679,0.080952380952381,0.0380952380952381,0.880952380952381,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.70218579234973,0.508929177639074,2.56348108539441,2.47075442718473,0.943792203376337,0.365260745416038,0.818953602259216,0.717814261290773,1.47191953059514,0.378282119702257
"21",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.7280701754386,0.471195292695736,2.53402610605613,2.47567680020704,0.943848718030182,0.364904416475636,0.818968748131703,0.717595909132353,1.47188656841517,0.377837518640709
"22",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.72140762463343,0.48668664982529,2.5327543789925,2.47565752057911,0.944227278581508,0.364991459132345,0.819354688667122,0.718017378755728,1.47205923442302,0.37791613218471
"23",420,18679,0.080952380952381,0.0380952380952381,0.880952380952381,0.0642857142857143,0.316666666666667,0.561904761904762,0.0714285714285714,1.69125683060109,0.518459313625208,2.56348108539441,2.47232184272809,0.944087924249621,0.365031243148259,0.819171158761765,0.717867363935553,1.4720718203095,0.377759202084964
"24",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.72140762463343,0.49269285367188,2.5327543789925,2.47585290768323,0.943624957415769,0.364916023362785,0.819358380999861,0.717915405801018,1.4717903930131,0.378308945436423
"25",420,18679,0.080952380952381,0.0357142857142857,0.883333333333333,0.0642857142857143,0.314285714285714,0.561904761904762,0.0714285714285714,1.71345029239766,0.471840871875623,2.53402610605613,2.47451738534541,0.943597737973329,0.365350187382174,0.8190274819148,0.717988305298362,1.47199133896766,0.377088257322859
"26",419,18679,0.0787589498806683,0.035799522673031,0.885441527446301,0.0644391408114559,0.315035799522673,0.563245823389022,0.0715990453460621,1.72140762463343,0.474446192139648,2.5327543789925,2.47555011430407,0.944097212992369,0.364603706139291,0.817885774394076,0.715823399118356,1.47213103303765,0.378924063690558
