S,L,Top,Bas,Int,Can,Herb,Loop,Omn,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.6136363636363635,0.48877049786543225,2.12057393120585,2.43244698524496,0.9145019140253688,0.4471917119175625,0.787522551737532,0.7438835963106392,1.4335497096002734,0.3146486455740465
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.3140096618357488,0.5362318840579711,0.0821256038647343,1.6124031007751938,0.4891011768952413,2.110589710299249,2.4359024708265355,0.910619590226432,0.44782744426900983,0.7886490352005132,0.7452646541581524,1.432797537619699,0.3142994980140555
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.3285024154589372,0.5362318840579711,0.0821256038647343,1.5954198473282444,0.49269472455370716,2.1172712956557644,2.4359193848858904,0.9168144693149318,0.4464783099387471,0.7901123641092674,0.7457520164421229,1.4334529301213053,0.3165547767731048
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.5265700483091788,0.30434782608695654,0.0821256038647343,1.5827338129496402,0.4948910079910813,2.143014800254095,2.432899491687056,0.9130744683980976,0.44674692824699486,0.7893397865670607,0.7448321981779151,1.4277087646652864,0.3151795786982692
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.3188405797101449,0.5362318840579711,0.0821256038647343,1.593984962406015,0.49294406199588836,2.123851640967086,2.434413275821756,0.9138577471208655,0.44593290146400255,0.7894049205899365,0.7443442336396,1.43325927191933,0.315765536312457
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.3285024154589372,0.5362318840579711,0.0821256038647343,1.6,0.49179311210739735,2.113943352306837,2.4310174476212265,0.9186756811159437,0.44624025583209453,0.7899431561411688,0.7457749973632233,1.4331623931623931,0.3159732151487478
207.0,3912.0,0.12560386473429952,0.057971014492753624,0.8164251207729468,0.0821256038647343,0.3140096618357488,0.5362318840579711,0.0821256038647343,1.5379310344827586,0.5002872737956053,2.161368002234975,2.4267936033958124,0.9132474810949301,0.44389130356771944,0.7910271949594745,0.7450070510362202,1.4337946352297968,0.31403633299872463
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.606060606060606,0.49048310438605275,2.12057393120585,2.432399697744491,0.9172919558339538,0.44712272276349097,0.78839256470374,0.7444915773909836,1.433526999316473,0.31547338137986286
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.32367149758454106,0.5362318840579711,0.0821256038647343,1.6171875,0.4879830536298584,2.1072099696478683,2.4341939637719383,0.9101880522199808,0.4470997240131819,0.7890618209941157,0.745416414310811,1.43325927191933,0.3144978940909133
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.3140096618357488,0.5362318840579711,0.0821256038647343,1.5777777777777777,0.49575310818854884,2.130333768495006,2.4281987695644722,0.9130839103380554,0.44489401284268226,0.790077657736844,0.7446158760025754,1.4331623931623931,0.3144300152405807
