"","S","L","Top","Bas","Int","Can","Herb","Omn","Loop","ChLen","ChSD","ChNum","TL","MxSim","VulSD","GenSD","LinkSD","Path","Clust"
"1",419,18679,0.0787589498806683,0.0477326968973747,0.873508353221957,0.0644391408114559,0.310262529832936,0.572792362768496,0.0715990453460621,1.62128712871287,0.520204509061879,2.60638136511061,2.46328635061485,0.945122412011224,0.362725581401192,0.818582553803547,0.715537474528225,1.47264724376441,0.379911124449738
"2",420,18679,0.080952380952381,0.0523809523809524,0.866666666666667,0.0642857142857143,0.30952380952381,0.569047619047619,0.0714285714285714,1.63144963144963,0.498068794379444,2.60959440922522,2.45515327572826,0.943173712042574,0.364035338400345,0.820389367804877,0.718492920828411,1.47167371474505,0.378941851747186
"3",420,18679,0.080952380952381,0.0523809523809524,0.866666666666667,0.0642857142857143,0.535714285714286,0.338095238095238,0.0714285714285714,1.61904761904762,0.500709804167588,2.6232492903979,2.45285614378017,0.942638666004867,0.364027027747029,0.820009817295602,0.718234339127559,1.46978783096616,0.377876077773123
"4",420,18679,0.080952380952381,0.0476190476190476,0.871428571428571,0.0642857142857143,0.321428571428571,0.571428571428571,0.0714285714285714,1.63529411764706,0.51503477679634,2.62838893005031,2.45948949374169,0.943249179538705,0.364296196473784,0.819998749047469,0.718322789596899,1.47262690843028,0.379446654433091
"5",419,18679,0.0787589498806683,0.0501193317422434,0.871121718377088,0.0644391408114559,0.310262529832936,0.572792362768496,0.0715990453460621,1.68369829683698,0.486101411151954,2.61384182187607,2.4559121198639,0.942977304390087,0.363310059630608,0.81865850341359,0.715949456423556,1.47237655938778,0.380237909189091
"6",418,18679,0.076555023923445,0.0430622009569378,0.880382775119617,0.0645933014354067,0.320574162679426,0.574162679425837,0.0717703349282297,1.68533333333333,0.481944960282326,2.57403126772772,2.46926716258879,0.944659322331953,0.361357178453838,0.817970809894908,0.713673841425034,1.4715728413181,0.381119897985913
"7",418,18679,0.076555023923445,0.0526315789473684,0.870813397129187,0.0645933014354067,0.303827751196172,0.574162679425837,0.0717703349282297,1.62305986696231,0.498709840786074,2.65417654187796,2.45364321479015,0.943270371786913,0.360881920318708,0.817857794846169,0.713286435287306,1.47150096103442,0.381002754174896
"8",420,18679,0.080952380952381,0.0571428571428571,0.861904761904762,0.0642857142857143,0.535714285714286,0.338095238095238,0.0714285714285714,1.61255411255411,0.500860834121202,2.66464197555613,2.44437826228234,0.943434319068402,0.364121757950546,0.820072165635667,0.718366168465373,1.47131419781142,0.378265178530515
"9",420,18679,0.080952380952381,0.0523809523809524,0.866666666666667,0.0642857142857143,0.302380952380952,0.569047619047619,0.0714285714285714,1.65342163355408,0.490139939535041,2.65609820201283,2.45349002719586,0.944108845791016,0.363575474058154,0.820488191790885,0.718188846073017,1.47159329140461,0.379057357844092
"10",419,18679,0.0787589498806683,0.0405727923627685,0.880668257756563,0.0644391408114559,0.326968973747017,0.572792362768496,0.0715990453460621,1.65945945945946,0.49685158311309,2.56820172406699,2.47091549374538,0.943974413078743,0.362743054567409,0.818644862497911,0.715665690831288,1.47250366850674,0.379291954926189
"11",420,18679,0.080952380952381,0.05,0.869047619047619,0.0642857142857143,0.307142857142857,0.571428571428571,0.0714285714285714,1.6474358974359,0.495864963738333,2.67024585307412,2.45507375589707,0.944117953452837,0.363851628704167,0.819958164192735,0.717966394088778,1.47173897855097,0.378371309337349
"12",420,18679,0.080952380952381,0.0571428571428571,0.861904761904762,0.0642857142857143,0.3,0.571428571428571,0.0714285714285714,1.64210526315789,0.509732068978632,2.67669360962487,2.44333856877731,0.942936804437721,0.363464786978749,0.820383467488843,0.718165255947232,1.47162029917517,0.378804835427271
"13",420,18679,0.080952380952381,0.0619047619047619,0.857142857142857,0.0642857142857143,0.295238095238095,0.571428571428571,0.0714285714285714,1.63276836158192,0.49790093450608,2.72509452108147,2.43242686990139,0.943600708740303,0.363017534265404,0.820790121201593,0.718185897349669,1.4715378970542,0.37856601684328
"14",419,18679,0.0787589498806683,0.0477326968973747,0.873508353221957,0.0644391408114559,0.307875894988067,0.572792362768496,0.0715990453460621,1.68028846153846,0.482159713039768,2.61909333062674,2.45694204333304,0.945134171788401,0.362715596356859,0.818646337202456,0.715656834522639,1.47171854802082,0.379528508510283
