S,L,Top,Bas,Int,Can,Herb,Loop,Omn,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.623076923076923,0.4864901126393891,2.113943352306837,2.432367079244755,0.9140986312864995,0.44833232296316267,0.7872178200412275,0.744247523449762,1.4333561175666438,0.3134187480292764
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.606060606060606,0.49048310438605275,2.12057393120585,2.4324134225902174,0.9160078628218141,0.4493556346875601,0.7873092519346397,0.7447217436414434,1.4361120601298258,0.31228422253961685
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.6153846153846154,0.5040089728593323,2.113943352306837,2.432779593015086,0.9143875256156383,0.4488442704541329,0.787705334168833,0.7449196297374068,1.433623782675551,0.3141858521970779
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.6030534351145038,0.5065629175437311,2.1172712956557644,2.4339302162459813,0.9176186592047566,0.4468773417369089,0.7890791967111089,0.7445376163333604,1.433065481278851,0.313447096913166
206.0,3912.0,0.1262135922330097,0.043689320388349516,0.8300970873786409,0.0825242718446602,0.3058252427184466,0.5388349514563107,0.0825242718446602,1.6299212598425197,0.4847376905826657,2.103803720955957,2.440738503272539,0.9189607039891208,0.4484348252751181,0.7839586648342818,0.7401530501172622,1.4335497096002734,0.3163433294063269
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.5664335664335665,0.4973088217772459,2.155336037465062,2.430023165573992,0.9166236916264511,0.44968351731103456,0.7878750227428825,0.7456141160410995,1.433623782675551,0.31214667347649727
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.606060606060606,0.49048310438605275,2.12057393120585,2.433115908975,0.916090413365536,0.450056859801665,0.7867169331494767,0.7447263462408701,1.433891356337547,0.3115569922376284
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.6136363636363635,0.48877049786543225,2.12057393120585,2.432366932275014,0.9150608051377886,0.44844698884864487,0.7872482985189208,0.7442152839270575,1.4334529301213053,0.3123582676100834
206.0,3912.0,0.1262135922330097,0.043689320388349516,0.8300970873786409,0.0825242718446602,0.3058252427184466,0.5388349514563107,0.0825242718446602,1.627906976744186,0.4852474794154728,2.110589710299249,2.4398459135571176,0.9207096264560221,0.4479020274451968,0.7836540192194142,0.7396413007979048,1.4335497096002734,0.31486072820142236
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.5804195804195804,0.509246715334224,2.155336037465062,2.4245048925868513,0.9153453105427691,0.4494624134300957,0.7878054113391845,0.7451312636593991,1.434329632792485,0.3141098029479635
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.6015037593984962,0.4914395925155201,2.123851640967086,2.4323907474462825,0.9160871656172809,0.4483017404403497,0.787627004035151,0.7443994909641061,1.4335497096002734,0.3147714050396466
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.6030534351145038,0.49114292629111694,2.1172712956557644,2.432712365197062,0.9169912212990674,0.44855398389531986,0.7878663216537739,0.7446020660704001,1.4314364072677408,0.31025319710039817
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.6076923076923078,0.4901534935376789,2.113943352306837,2.432061788885117,0.9151901539449901,0.4499197495797338,0.7877836565140699,0.7454302091562702,1.4324601951720595,0.31471850071331847
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.618320610687023,0.4876634284985996,2.1172712956557644,2.431559841004757,0.9156270022436434,0.4499806926139034,0.7860064335852388,0.7442383123000688,1.4336464560204953,0.3132605822209936
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30917874396135264,0.5362318840579711,0.0821256038647343,1.606060606060606,0.49048310438605275,2.12057393120585,2.433773137231761,0.9163227191176502,0.44982831954735086,0.7876748733757855,0.7452784518126393,1.4362083689154568,0.3129872573382894
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.2995169082125604,0.5362318840579711,0.0821256038647343,1.5704225352112675,0.49676809841417724,2.1522883443830563,2.424828654949765,0.9156932237526417,0.45045272156645,0.7875094942262092,0.745439405578086,1.433526999316473,0.312230001292023
206.0,3912.0,0.1262135922330097,0.043689320388349516,0.8300970873786409,0.0825242718446602,0.3058252427184466,0.5388349514563107,0.0825242718446602,1.623076923076923,0.4864901126393891,2.113943352306837,2.440041713852803,0.9191564848201027,0.4474982013974363,0.7841065928543203,0.7396551365159615,1.4334529301213053,0.3138315226249318
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.2995169082125604,0.5362318840579711,0.0821256038647343,1.5694444444444444,0.49688227669338014,2.1583624920952498,2.4237572152158458,0.9169476585368741,0.44874498302653065,0.786982660680988,0.7441369821282304,1.4336464560204953,0.31249358552308965
206.0,3912.0,0.1262135922330097,0.043689320388349516,0.8300970873786409,0.0825242718446602,0.3058252427184466,0.5388349514563107,0.0825242718446602,1.6153846153846154,0.48838629050550436,2.113943352306837,2.438994120239695,0.918419403280446,0.4481913391431729,0.7837758916748748,0.7397196997785358,1.4360157184349907,0.3158281589038538
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5314009661835749,0.0821256038647343,1.606060606060606,0.49048310438605275,2.12057393120585,2.4362084219135487,0.9168617244707118,0.44716105138536083,0.7877401450614476,0.7439342803784633,1.43710530807305,0.313547387765871
207.0,3912.0,0.12560386473429952,0.04830917874396135,0.8260869565217391,0.0821256038647343,0.30434782608695654,0.5362318840579711,0.0821256038647343,1.6136363636363635,0.48877049786543225,2.12057393120585,2.43387592370549,0.9163522680367537,0.4484852042955713,0.7871437959678919,0.744118556978128,1.4333561175666438,0.3106444994271634
206.0,3912.0,0.1262135922330097,0.043689320388349516,0.8300970873786409,0.0825242718446602,0.3106796116504854,0.5388349514563107,0.0825242718446602,1.6124031007751938,0.4891011768952413,2.110589710299249,2.439947458897553,0.9191684114703024,0.44683452589241823,0.7846284688276147,0.7396274648210327,1.43267750213858,0.31306244382654086
207.0,3912.0,0.12560386473429952,0.05314009661835749,0.821256038647343,0.0821256038647343,0.2995169082125604,0.5362318840579711,0.0821256038647343,1.5524475524475525,0.49898942491153514,2.155336037465062,2.4292070675775763,0.9141334876972916,0.4465397226553958,0.788670766154879,0.7443948863437305,1.43398804440649,0.3110520542147865
