network,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust
fezouata,4.826781821489441,2.884595062472141,2.8124670678978263,1.572401465232582,11.993060268615597,5.1496918336147575,NaN,3.97708421646196,1.0720105268207414,0.6732675459279991,1.4359430347853077,12.098746211283578,8.552343716678855,5.552274721058875,9.101280023272986,6.749861587593219,1.0518666385689506
fezouata trophic species,1.2646520146520146,0.27264740631532147,1.0387811634349033,1.645136903001019,3.83222179739266,1.6908544118197593,1.0,0.18418126167217982,0.13429243747212957,0.5597056666484601,0.5493839520937827,1.281166935172637,1.8002041140452674,0.06950471946910591,0.7932204724580015,2.1858041937476234,0.3879225079934131
burgess,0.7204807238006795,0.5003630328804063,0.2668198164607973,0.019492227474294747,3.380581096960449,2.9279294470075268,0.9825741400480253,0.2222870058049096,0.045962570957928724,0.08346979115767776,0.715441810458017,7.4735091595922025,3.9493662361634607,1.6003337750079614,3.7824847069578906,1.4154121916993525,1.4456543810623708
burgess trophic species,0.7897462454686686,0.6699666167836998,0.3076923076923075,0.3605442176870747,0.6544821583986073,0.6232464929859722,0.16666666666666663,0.2923264311814861,0.24710799807616426,0.47010437827996665,0.04576060725384879,0.34247818946388736,1.7372478272450398,0.08990041521743028,0.944258858946414,0.6875150976239033,0.09163847606150854
chengjiang,1.9773710848675987,1.5397791300428216,1.1807090046646345,2.3343341196654492,4.735749764313552,3.0902468636179714,2.7415334041762778,0.13351162312281428,0.3688362459446552,0.10186758927734564,0.5764951557604665,4.462983657310562,3.5129520685827136,0.1555325377838088,4.733401258200092,1.9908557769368653,1.7883685491737853
chengjiang trophic species,0.9297933389024077,1.1434822242479488,0.12463313633256896,1.1518075366761293,0.8297872340425531,0.17424448679553511,1.4,0.2941176470588233,0.07228247378194237,0.1852159242211766,1.1570691699366527,0.06004176684462932,1.5133487639814887,0.7412311036549403,1.5248494215440065,0.08866678877238418,0.5885084342049723
