network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust
fezouata,empirical,0.08095238095238096,0.03571428571428571,0.8833333333333333,0.06428571428571428,0.3761904761904762,0.5619047619047619,0.07142857142857142,1.6871345029239766,0.48291451376378325,2.534026106056135,2.471941384318654,0.947420705087943,0.36763798255244146,0.8177959427798589,0.7173889046261726,1.4697445561139029,0.3789962658885291
fezouata trophic species,empirical,0.0898876404494382,0.07865168539325842,0.8314606741573034,0.02247191011235955,0.29775280898876405,0.5955056179775281,0.028089887640449437,1.6666666666666667,0.5129891760425771,2.184691430817599,2.509745508423268,0.8207257406261462,0.40036294045455495,0.7036459623339691,0.5976668917815149,1.3348273572377158,0.27881782539504546
burgess,empirical,0.12056737588652482,0.1702127659574468,0.7092198581560284,0.03546099290780142,0.3475177304964539,0.3049645390070922,0.028368794326241134,2.481203007518797,0.7240616054423372,2.123851640967086,2.431267912032264,0.9314980292002429,0.7395930452626319,0.8870574346754658,1.1477694088162407,1.904275092936803,0.22940018473675486
burgess trophic species,empirical,0.16666666666666666,0.125,0.7083333333333334,0.10416666666666667,0.16666666666666666,0.5416666666666666,0.08333333333333333,2.2,0.714384229659507,1.4771212547196624,2.811898812473652,0.6700810073798671,0.4800835895584664,0.5784798512358617,0.6659820638011698,1.602510460251046,0.385424325662497
chengjiang,empirical,0.3176470588235294,0.047058823529411764,0.6352941176470588,0.23529411764705882,0.4117647058823529,0.4,0.27058823529411763,1.8,0.7552286874651746,1.7403626894942439,3.4951703374988536,0.908330439959155,0.636352979253271,0.5973568616609445,1.0611083348999757,1.5221621621621622,0.4394772581182596
chengjiang trophic species,empirical,0.2727272727272727,0.12121212121212122,0.6060606060606061,0.24242424242424243,0.2727272727272727,0.45454545454545453,0.21212121212121213,2.125,0.7408866603457379,1.380211241711606,3.1167057597913894,0.5976584022038569,0.5552288878112897,0.49037884381126606,0.8273393954020059,1.7227722772277227,0.4095106913288731
fezouata,niche model,0.0,0.03333333333333333,0.9666666666666667,0.14047619047619048,0.016666666666666666,0.9214285714285714,0.41904761904761906,NaN,NaN,-Inf,5.575305233900072,0.7835046762570558,0.24610525447482332,0.5766242406023732,0.5539411095289424,2.8405186311086545,0.38892555528663547
fezouata,niche model,0.0,0.03333333333333333,0.9666666666666667,0.11904761904761904,0.007142857142857143,0.9261904761904762,0.40714285714285714,NaN,NaN,-Inf,5.166691572126971,0.7827734466008232,0.2510151028447472,0.5514684732933391,0.5048350335029306,2.4090166322536515,0.37268471287063015
fezouata,niche model,0.0,0.03333333333333333,0.9666666666666667,0.11904761904761904,0.02142857142857143,0.9166666666666666,0.2785714285714286,NaN,NaN,-Inf,5.28554598214685,0.7927575178861862,0.27018555971800456,0.5511757233429565,0.5092681211944935,1.9194505510294984,0.3875285977368676
fezouata,niche model,0.0,0.05,0.95,0.1261904761904762,0.011904761904761904,0.9142857142857143,0.21666666666666667,NaN,NaN,-Inf,4.826024430121722,0.7890063932660804,0.22888766329481516,0.5282229941191052,0.48938668357553683,1.833969465648855,0.3685485981449193
fezouata,niche model,0.0,0.04523809523809524,0.9547619047619048,0.12857142857142856,0.016666666666666666,0.9023809523809524,0.319047619047619,NaN,NaN,-Inf,5.619073318319573,0.788066057646035,0.25773182682760737,0.5955475636043198,0.5629472510484962,2.1021961266852127,0.4127525715393218
fezouata,niche model,0.0,0.04523809523809524,0.9547619047619048,0.11428571428571428,0.02142857142857143,0.9071428571428571,0.3333333333333333,NaN,NaN,-Inf,4.654180626684607,0.801518636099165,0.2373037757213257,0.5626685430528738,0.5033193560808457,2.2300305020179283,0.36571650158854563
fezouata,niche model,0.0,0.05,0.95,0.12380952380952381,0.009523809523809525,0.919047619047619,0.33095238095238094,2.0,NaN,0.0,5.20301786070879,0.7970790527603377,0.2889068178432293,0.5613855795600609,0.5259872955526702,2.3190027641360063,0.3544386368825786
fezouata,niche model,0.0,0.04047619047619048,0.9595238095238096,0.15,0.011904761904761904,0.930952380952381,0.5047619047619047,NaN,NaN,-Inf,5.366654233359752,0.8074694858652465,0.25149990154536234,0.5342869291616921,0.4784708002402839,3.0452368112172064,0.38659607185966793
fezouata,niche model,0.0,0.02857142857142857,0.9714285714285714,0.11428571428571428,0.004761904761904762,0.930952380952381,0.34523809523809523,NaN,NaN,-Inf,6.365842960157825,0.7856868041907351,0.2927570850290938,0.5177320128898492,0.4785321654566408,2.393992748519707,0.365411444659826
fezouata,niche model,0.0,0.03818615751789976,0.9618138424821002,0.1026252983293556,0.014319809069212411,0.9260143198090692,0.19331742243436753,NaN,NaN,-Inf,4.757020473642213,0.7691851794432856,0.2639927875489375,0.5436424227306348,0.49702306273950486,1.8264109697933226,0.3276438799419219
