network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072815534,0.927184466,0.082524272,0.019417476,0.878640777,0.067961165,NaN,NaN,,4.783338899,0.707302522,0.293315451,0.495224999,0.474986295,1.833992395,0.287651352,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.106280193,0.893719807,0.120772947,0.038647343,0.792270531,0.115942029,NaN,NaN,,3.709165227,0.739838274,0.311361783,0.551198083,0.501800382,1.799693202,0.318163262,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.126213592,0.873786408,0.087378641,0.024271845,0.800970874,0.111650485,1.888888889,0.423659273,1.431363764,3.469154581,0.723237704,0.25307548,0.575746901,0.5254317,1.808538462,0.329912263,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077294686,0.922705314,0.086956522,0.038647343,0.845410628,0.077294686,NaN,NaN,,4.016969117,0.705463431,0.311222318,0.555150543,0.504795049,1.848830049,0.26716169,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.004830918,0.101449275,0.893719807,0.115942029,0.004830918,0.855072464,0.164251208,1.761904762,0.43643578,1.322219295,4.271237705,0.737776772,0.28743641,0.541334996,0.50320865,1.83079983,0.339399423,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.09223301,0.90776699,0.111650485,0.024271845,0.830097087,0.140776699,2.105263158,0.458831468,1.278753601,4.821202875,0.708118449,0.251266741,0.56436625,0.517857672,1.869007114,0.329340454,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077294686,0.922705314,0.06763285,0.024154589,0.806763285,0.053140097,NaN,NaN,,4.779391885,0.702698135,0.280783818,0.601876154,0.573664797,1.871624297,0.318866643,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.106280193,0.893719807,0.096618357,0.053140097,0.801932367,0.101449275,NaN,NaN,,3.55572325,0.750529305,0.352157067,0.555504089,0.525163915,1.799814572,0.318322534,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.111111111,0.888888889,0.062801932,0.014492754,0.763285024,0.198067633,NaN,NaN,,3.870770801,0.72828811,0.256079243,0.651629006,0.613908034,2.06294358,0.334879587,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.120772947,0.019323671,0.821256039,0.198067633,NaN,NaN,,4.228720622,0.753267906,0.211251859,0.63232301,0.587965345,1.893477621,0.380179018,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.101449275,0.898550725,0.111111111,0.062801932,0.792270531,0.101449275,NaN,NaN,,3.852666394,0.737912246,0.229235812,0.531647437,0.455253243,1.751179519,0.284238457,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.096618357,0.903381643,0.101449275,0.043478261,0.821256039,0.101449275,NaN,NaN,,4.009158337,0.731942584,0.315582183,0.559282463,0.532879122,1.845438338,0.306284457,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.019323671,0.120772947,0.859903382,0.077294686,0.024154589,0.826086957,0.062801932,1.931623932,0.364986909,2.068185862,3.424096217,0.723885891,0.307569171,0.565441741,0.513203216,1.799035238,0.236607657,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.111111111,0.888888889,0.130434783,0.062801932,0.806763285,0.140096618,NaN,NaN,,3.70730559,0.697671987,0.242080929,0.525980572,0.501178724,1.869812975,0.309686902,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.140096618,0.014492754,0.855072464,0.125603865,NaN,NaN,,4.759179215,0.726600586,0.230028691,0.55668197,0.507685143,1.873497344,0.331037842,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.053398058,0.946601942,0.097087379,0.019417476,0.854368932,0.116504854,NaN,NaN,,4.984924781,0.734090525,0.301817928,0.627208635,0.581179593,1.815110277,0.343241025,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.125603865,0.033816425,0.84057971,0.115942029,1.823529412,0.392952624,1.230448921,4.348743913,0.745367801,0.299096794,0.597891182,0.541918553,1.797105888,0.333012746,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.014492754,0.072463768,0.913043478,0.053140097,0.038647343,0.850241546,0.072463768,1.975,0.158113883,1.602059991,3.958752373,0.730835807,0.306838934,0.484966926,0.453505412,1.786668691,0.2690752,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.115942029,0.028985507,0.8647343,0.207729469,NaN,NaN,,4.151743198,0.763350236,0.341457337,0.556826856,0.520484984,1.90071712,0.338401596,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.082125604,0.004830918,0.84057971,0.082125604,NaN,NaN,,4.335617587,0.727164301,0.259226408,0.587781689,0.559069104,1.869153719,0.315136976,,,,,,,,,,,,,,,,,,,,
