Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,network
-1.0,0.5999999917200001,0.11695906366912895,0.17647058035640134,-0.939759037136159,0.5909090914223141,-0.11764706168858138,-1.0,-1.0,-1.0,0.8065387599678179,-0.19208424491616566,-0.39171808882112075,-0.2809641308966805,-0.32088789069257384,0.26016603905610763,0.01461490257507295,fezouata
-1.0,0.19999998344000008,0.14035087712927047,0.2941176420449826,-0.903614457921469,0.5909090914223141,-0.1764705925328721,-1.0,-1.0,-1.0,0.7244502201274712,-0.20166194574122842,-0.3546484696412557,-0.34029158348433153,-0.3691795842159502,0.22922501859275585,-0.08357959124961682,fezouata
-1.0,0.2999999855100002,0.1345029237642352,0.41176470373356394,-0.8795180717783423,0.6000000007527274,0.8235294074671281,-1.0,-1.0,-1.0,0.7294897711953449,-0.21899133223454276,-0.37342867945300295,-0.271007023570476,-0.30388930275918025,0.28993332352855106,0.02309172886748113,fezouata
-1.0,0.89999999793,0.0994152035740227,0.11764706168858122,-0.9518072302077225,0.6000000007527274,0.3529411728892733,0.32701421842173356,0.49185824698733516,-0.3979082265850225,0.7289759932067713,-0.19708329520026546,-0.35821892838962244,-0.2868317986071534,-0.2838645136137669,0.2544722703046947,0.02337033375478485,fezouata
-0.42307692522041423,0.39999998757999994,0.0409356723447215,0.17647058035640134,-0.9277108440645957,0.6181818194135539,0.7058823457785467,0.2606635074376137,-0.126311266317049,0.0771946994013223,0.6437016799770329,-0.2198874054145429,-0.47573329789877805,-0.2970084174333949,-0.35065504851176754,0.2850323117426349,0.04757554628697141,fezouata
-0.49757281752436516,0.5072815458114078,0.0459887578154802,0.3595088445255147,-0.9031465680906398,0.5894969110763718,0.47772700703668486,0.20193694644600255,0.10341519107995853,0.03906781123418404,0.681570270798824,-0.19372961126756555,-0.37333717129179905,-0.31218587038578316,-0.36264168198158764,0.25248832947388955,0.03180736116185821,fezouata
-1.0,0.19999998344000008,0.14035087712927047,0.5294117654221453,-0.9518072302077225,0.5818181820919008,0.17647058035640134,-1.0,-1.0,-1.0,1.0867213722098648,-0.208218629047341,-0.5522795568098533,-0.3335448165825257,-0.36855057554486587,0.28554319198846434,0.11889538674385204,fezouata
-1.0,0.2999999855100002,0.1345029237642352,0.11764706168858122,-0.939759037136159,0.6363636361925621,0.0,-1.0,-1.0,-1.0,1.0661226029375839,-0.24116914860429592,-0.32262470223003464,-0.3026332800566567,-0.2997547989848539,0.31815001357261447,-0.04097990179132509,fezouata
-1.0,1.2999999855100002,0.07602339132440744,0.23529411120069205,-0.939759037136159,0.5181818186608266,0.7058823457785467,-1.0,-1.0,-1.0,0.5582338866279806,-0.21336008724360234,-0.4250125602932771,-0.2362421123468929,-0.23663453801353315,0.3243595321015525,0.0043179585707911455,fezouata
-1.0,1.19999998344,0.08187134468944286,0.6470588149342559,-0.939759037136159,0.5636363634310744,0.8823529383114186,0.28931495050195416,-0.017400811082521356,-0.3679301062818446,0.864619075445206,-0.24060534714244572,-0.28618271519727945,-0.30669356993519226,-0.2687996101169559,0.43024482721961543,-0.0020183983283287785,fezouata
-1.0,0.21170730307795133,0.1396662385507195,0.12855093278826896,-0.9635027925447199,0.633968958573553,-0.3466284034879062,0.2606635074376137,0.21988191546354738,-0.49187540920142825,0.8724333367631846,-0.21443772801078226,-0.4284082602235284,-0.23850016315241593,-0.2813154504538006,0.2532173493695728,-0.0291515144452996,fezouata
-1.0,0.2999999855100002,0.1345029237642352,0.23529411120069205,-0.939759037136159,0.5909090914223141,0.23529411120069205,-1.0,-1.0,-1.0,1.1702842770043576,-0.21215836309579175,-0.44356721659606646,-0.20159230169139764,-0.23549347662318493,0.31683448478324056,-0.011799800039867426,fezouata
-1.0,0.9999999793000002,0.09356725141951369,0.11764706168858122,-0.8795180717783423,0.5090909093304133,1.0,0.2606635074376137,-0.34366987714222297,-0.3874195490474939,0.6578635267636314,-0.20919076213534843,-0.4063334784144455,-0.2769318930452043,-0.2913861009791553,0.3435225673475604,-0.019460075028814208,fezouata
-1.0,1.39999998758,0.07017543795937217,0.0,-0.9759036138568733,0.5454545466520662,-0.2352941233771626,0.13459715669385233,-0.17413603986314055,-0.34179017874252726,0.6238293164575551,-0.20144055086718915,-0.2277035643656376,-0.22941465166633254,-0.2601754498651103,0.3176109033171397,-0.11044610083594689,fezouata
-1.0,0.6999999937900001,0.11111111030409353,0.5294117654221453,-0.7951807227713746,0.5272727279912397,0.5882352962664359,0.40073723034616376,0.30836347550491094,-0.4089641287708005,0.5015550453999695,-0.195808471905105,-0.3743582183212203,-0.31048243285688365,-0.3177703366342326,0.2889254296746394,-0.005917229745811895,fezouata
-1.0,0.19999998344000008,0.14035087712927047,0.41176470373356394,-0.9518072302077225,0.6181818194135539,0.6470588149342559,-1.0,-1.0,-1.0,0.7118440923246966,-0.18016871747274693,-0.43475983758601844,-0.2738284642458351,-0.330111397039361,0.23680227749101265,0.055093877734455,fezouata
-1.0,0.39999998757999994,0.1286549703991998,0.7058823457785467,-0.9518072302077225,0.6363636361925621,0.8235294074671281,-1.0,-1.0,-1.0,0.9594882011008095,-0.20349673553575726,-0.3649248211308105,-0.2620130697591803,-0.29571059093098406,0.29497654031145504,0.097216818106052,fezouata
-1.0,0.5072815458114078,0.12238119503441092,0.004854369168475045,-0.951573282798332,0.6534421900166437,-0.17247287459827998,-1.0,-1.0,-1.0,0.9688236189156979,-0.2309388615537117,-0.35239208672235905,-0.3700886427646665,-0.36279150005928157,0.2813033137961738,-0.08742900162000965,fezouata
-1.0,1.19999998344,0.08187134468944286,0.47058823457785465,-0.903614457921469,0.4909090906695868,0.41176470373356394,-1.0,-1.0,-1.0,0.5266934372776931,-0.1955622275180054,-0.31254779154802975,-0.2988925573847213,-0.3268195902707057,0.25734047198109933,0.009369723564429564,fezouata
-1.0,1.612621340553107,0.057741440650781205,0.06396345042406022,-0.9394666034979149,0.5072815543206973,0.3595088445255147,0.19062664598333864,-0.14296046421043712,-0.3260528483401727,0.4279049887454758,-0.21361228794611922,-0.4412374699465206,-0.2676671965969408,-0.29511746148738555,0.263520138254682,0.046643310140645225,fezouata
-1.0,0.5999999917200001,0.11695906366912895,0.058823530844290525,-0.903614457921469,0.5909090914223141,-0.05882353084429069,-1.0,-1.0,-1.0,0.653385603863009,-0.2329385340759685,-0.31285571476624874,-0.29386514671675057,-0.3228021537952132,0.2916695155814113,-0.1524322466171288,fezouata
-0.9615384606198225,1.09999998137,0.08187134468944286,0.41176470373356394,-0.9879518069284366,0.6090909100831406,1.0,0.11058451851697691,-0.11711428940408018,-0.3774427227047541,0.7580426252811236,-0.19780373101292617,-0.36537235578456984,-0.31143810845998143,-0.32493035609860277,0.27907285519385777,0.07674122907200037,fezouata
-1.0,0.9092232968811166,0.09887582936380877,0.3595088445255147,-0.9394666034979149,0.5620917915305408,0.714163332059025,0.32701421842173356,-0.07180903758864805,-0.3979082265850225,0.9844084419501773,-0.230051691314682,-0.4452309646139866,-0.28214304360003545,-0.30527824943262294,0.3057660518144204,0.04482925188441063,fezouata
-1.0,0.5999999917200001,0.11695906366912895,-0.1764705925328721,-0.939759037136159,0.5181818186608266,-0.35294117288927346,-1.0,-1.0,-1.0,0.9671990268574149,-0.23594528383827312,-0.3800605394732208,-0.23443156985351904,-0.23041130109834704,0.30759452463680154,0.011601192656956265,fezouata
-1.0,1.19999998344,0.08187134468944286,0.17647058035640134,-0.8674698787067789,0.5090909093304133,0.23529411120069205,-1.0,-1.0,-1.0,0.4635366769415445,-0.1839377016379399,-0.2224763389438888,-0.2934154468002382,-0.2954767031748885,0.2574252661076286,0.009875012369934525,fezouata
