Cons._sp.,Resource_sp.
Asaphellus fezouataensis ,Vizcainocarpus sp.
Asaphellus fezouataensis ,Peltocystis cornuta
Asaphellus fezouataensis ,Macrocystella bohemica
Asaphellus fezouataensis ,"""Didymograptus sp. 1"""
Asaphellus fezouataensis ,Didymograptid indet.
Asaphellus fezouataensis ,Koremagraptus sp.
Asaphellus fezouataensis ,Webbyites felix
Asaphellus fezouataensis ,Rhabdopleura-like epibiont
Asaphellus fezouataensis ,Gamalites? sp.
Asaphellus sp aff. jujuanus,Benthic detritus
Asaphellus sp aff. jujuanus,Plectorthis simplex
Asaphellus sp aff. jujuanus,Angusticardinia sp.
Asaphellus sp aff. jujuanus,Wosekella sp.
Asaphellus sp aff. jujuanus,Celdobolus sp.
Asaphellus sp aff. jujuanus,Carcassonnella sp.
Asaphellus sp aff. jujuanus,Wiwaxiid
Asaphellus sp aff. jujuanus,Furca sp. 1
Asaphellus sp aff. jujuanus,Furca sp. 2
Asaphellus sp aff. jujuanus,Furca sp. 3
Asaphellus sp aff. jujuanus,Enosiaspis hrungnir
Asaphellus sp aff. jujuanus,Setapedites abundantis
Asaphellus sp aff. jujuanus,Tariccoia tazagurtensis
Asaphellus sp aff. jujuanus,Cheloniellid
Asaphellus sp aff. jujuanus,Apatokephalus cf. incisus
Asaphellus sp aff. jujuanus,Orometopus sp.
Asaphellus sp aff. jujuanus,Toletanaspis aff. borni
Asaphellus sp aff. jujuanus,Colpocoryphe thorali
Asaphellus sp aff. jujuanus,Agerina quadrata
Asaphellus sp aff. jujuanus,Geragnostus aff. occitanus
Asaphellus sp aff. jujuanus,Geragnostus sp.
Asaphellus sp aff. jujuanus,Ampyx priscus
Asaphellus sp aff. jujuanus,Parabathycheilus gallicus
Asaphellus sp aff. jujuanus,Nileus deynouxi
Asaphellus sp aff. jujuanus,Palaeosphaeronites sp.
Asaphellus sp aff. jujuanus,Palaeosphaeronites? prokopi
Asaphellus sp aff. jujuanus,Aristocystites cf. bohemicus (sinuous?)
Asaphellus sp aff. jujuanus,Balantiocystis regnelli
Asaphellus sp aff. jujuanus,Rhopalocystis destombesi
Asaphellus sp aff. jujuanus,Rhopalocystis fraga
Asaphellus sp aff. jujuanus,Rhopalocystis grandis
Asaphellus sp aff. jujuanus,Rhopalocystis havliceki
Asaphellus sp aff. jujuanus,Rhopalocystis zagoraensis
Asaphellus sp aff. jujuanus,Lingulocystis elongata
Asaphellus sp aff. jujuanus,cf. Pareocrinus
Asaphellus sp aff. jujuanus,Eocrinoidea indet. sp. 1
Asaphellus sp aff. jujuanus,Eocrinoidea indet. sp. 2
Asaphellus sp aff. jujuanus,Eocrinoidea indet.
Asaphellus sp aff. jujuanus,Aethocrinus cf. moorei
Asaphellus sp aff. jujuanus,Rhenopyrgid indet.
Asaphellus sp aff. jujuanus,Amygdalotheca griffei
Asaphellus sp aff. jujuanus,Anatifopsis trapeziiformis
Asaphellus sp aff. jujuanus,Aspidocarpus sp.
Asaphellus sp aff. jujuanus,Chauvelicystis ubaghsi
Asaphellus sp aff. jujuanus,Chauvelicystis spinosa
Asaphellus sp aff. jujuanus,Chauvelicystis vizcainoi
Asaphellus sp aff. jujuanus,Chauvelicystis sp.
Asaphellus sp aff. jujuanus,Sokkaejaecystis sp. 1
Asaphellus sp aff. jujuanus,Sokkaejaecystis sp. 2
Asaphellus sp aff. jujuanus,"Cornuta n. gen. 1, n. sp."
Asaphellus sp aff. jujuanus,"Cornuta n. gen. 2, n. sp."
Asaphellus sp aff. jujuanus,Flabellicarpus rushtoni
Asaphellus sp aff. jujuanus,Galliaecystis n. sp.
Asaphellus sp aff. jujuanus,Galliaecystis ubaghsi
Asaphellus sp aff. jujuanus,Hanusia n. sp.
Asaphellus sp aff. jujuanus,Lagynocystis pyramidalis
Asaphellus sp aff. jujuanus,Nanocarpus cf. dolambii
Asaphellus sp aff. jujuanus,Phyllocystis blayaci
Asaphellus sp aff. jujuanus,Procothurnocystis n. sp.
Asaphellus sp aff. jujuanus,Prokopicystis sp.
Asaphellus sp aff. jujuanus,Bohemiaecystis n. sp.
Asaphellus sp aff. jujuanus,Vizcainocarpus sp.
Asaphellus sp aff. jujuanus,Peltocystis cornuta
Asaphellus sp aff. jujuanus,Macrocystella bohemica
Asaphellus sp aff. jujuanus,"""Didymograptus sp. 1"""
Asaphellus sp aff. jujuanus,Didymograptid indet.
Asaphellus sp aff. jujuanus,Koremagraptus sp.
Asaphellus sp aff. jujuanus,Webbyites felix
Asaphellus sp aff. jujuanus,Rhabdopleura-like epibiont
Asaphellus tataensis,Benthic detritus
Asaphellus tataensis,Plectorthis simplex
Asaphellus tataensis,Angusticardinia sp.
Asaphellus tataensis,Wosekella sp.
Asaphellus tataensis,Celdobolus sp.
Asaphellus tataensis,Carcassonnella sp.
Asaphellus tataensis,Wiwaxiid
Asaphellus tataensis,Calvapilosa kroegeri
Asaphellus tataensis,Palaeoscolex cf. tenensis
Asaphellus tataensis,Furca sp. 1
Asaphellus tataensis,Furca sp. 2
Asaphellus tataensis,Furca sp. 3
Asaphellus tataensis,Enosiaspis hrungnir
Asaphellus tataensis,Setapedites abundantis
Asaphellus tataensis,Tariccoia tazagurtensis
Asaphellus tataensis,Cheloniellid
Asaphellus tataensis,Apatokephalus cf. incisus
Asaphellus tataensis,Orometopus sp.
Asaphellus tataensis,Foulonia peregrina
Asaphellus tataensis,Foulonia sp.
Asaphellus tataensis,Toletanaspis aff. borni
Asaphellus tataensis,Bavarilla zemmourensis
Asaphellus tataensis,Colpocoryphe thorali
Asaphellus tataensis,Colpocoryphe pradesensis
Asaphellus tataensis,Pharostomina sp. 
Asaphellus tataensis,Agerina quadrata
Asaphellus tataensis,Geragnostus aff. occitanus
Asaphellus tataensis,Geragnostus sp.
Asaphellus tataensis,Beltella sp.
Asaphellus tataensis,Ampyx priscus
Asaphellus tataensis,Parabathycheilus gallicus
Asaphellus tataensis,Eoharpes sp.
Asaphellus tataensis,Nileus deynouxi
Asaphellus tataensis,Palaeosphaeronites sp.
Asaphellus tataensis,Palaeosphaeronites? prokopi
Asaphellus tataensis,Aristocystites cf. bohemicus (sinuous?)
Asaphellus tataensis,Balantiocystis regnelli
Asaphellus tataensis,Rhopalocystis destombesi
Asaphellus tataensis,Rhopalocystis fraga
Asaphellus tataensis,Rhopalocystis grandis
Asaphellus tataensis,Rhopalocystis havliceki
Asaphellus tataensis,Rhopalocystis zagoraensis
Asaphellus tataensis,Lingulocystis elongata
Asaphellus tataensis,cf. Pareocrinus
Asaphellus tataensis,Eocrinoidea indet. sp. 1
Asaphellus tataensis,Eocrinoidea indet. sp. 2
Asaphellus tataensis,Eocrinoidea indet.
Asaphellus tataensis,Aethocrinus cf. moorei
Asaphellus tataensis,Rhenopyrgid indet.
Asaphellus tataensis,Amygdalotheca griffei
Asaphellus tataensis,Anatifopsis trapeziiformis
Asaphellus tataensis,Aspidocarpus sp.
Asaphellus tataensis,Chauvelicystis ubaghsi
Asaphellus tataensis,Chauvelicystis spinosa
Asaphellus tataensis,Chauvelicystis vizcainoi
Asaphellus tataensis,Chauvelicystis sp.
Asaphellus tataensis,Sokkaejaecystis sp. 1
Asaphellus tataensis,Sokkaejaecystis sp. 2
Asaphellus tataensis,"Cornuta n. gen. 1, n. sp."
Asaphellus tataensis,"Cornuta n. gen. 2, n. sp."
Asaphellus tataensis,Flabellicarpus rushtoni
Asaphellus tataensis,Galliaecystis n. sp.
Asaphellus tataensis,Galliaecystis ubaghsi
Asaphellus tataensis,Hanusia n. sp.
Asaphellus tataensis,Lagynocystis pyramidalis
Asaphellus tataensis,Nanocarpus cf. dolambii
Asaphellus tataensis,Phyllocystis blayaci
Asaphellus tataensis,Procothurnocystis n. sp.
Asaphellus tataensis,Prokopicystis sp.
Asaphellus tataensis,Bohemiaecystis n. sp.
Asaphellus tataensis,Vizcainocarpus sp.
Asaphellus tataensis,Peltocystis cornuta
Asaphellus tataensis,Macrocystella bohemica
Asaphellus tataensis,"""Didymograptus sp. 1"""
Asaphellus tataensis,Didymograptid indet.
Asaphellus tataensis,Koremagraptus sp.
Asaphellus tataensis,Webbyites felix
Asaphellus tataensis,Rhabdopleura-like epibiont
Asaphellus sp.,Benthic detritus
Asaphellus sp.,Plectorthis simplex
Asaphellus sp.,Angusticardinia sp.
Asaphellus sp.,Wosekella sp.
Asaphellus sp.,Celdobolus sp.
Asaphellus sp.,Carcassonnella sp.
Asaphellus sp.,Wiwaxiid
Asaphellus sp.,Calvapilosa kroegeri
Asaphellus sp.,Palaeoscolex cf. tenensis
Asaphellus sp.,Furca sp. 1
Asaphellus sp.,Furca sp. 2
Asaphellus sp.,Furca sp. 3
Asaphellus sp.,Enosiaspis hrungnir
Asaphellus sp.,Setapedites abundantis
Asaphellus sp.,Tariccoia tazagurtensis
Asaphellus sp.,Cheloniellid
Asaphellus sp.,Asaphellus sp aff. jujuanus
Asaphellus sp.,Asaphellus sp.
Asaphellus sp.,Apatokephalus cf. incisus
Asaphellus sp.,Orometopus sp.
Asaphellus sp.,Foulonia peregrina
Asaphellus sp.,Foulonia sp.
Asaphellus sp.,Toletanaspis aff. borni
Asaphellus sp.,Bavarilla zemmourensis
Asaphellus sp.,Colpocoryphe thorali
Asaphellus sp.,Colpocoryphe pradesensis
Asaphellus sp.,Pharostomina sp. 
Asaphellus sp.,Agerina quadrata
Asaphellus sp.,Geragnostus aff. occitanus
Asaphellus sp.,Geragnostus sp.
Asaphellus sp.,Beltella sp.
Asaphellus sp.,Ampyx priscus
Asaphellus sp.,Parabathycheilus gallicus
Asaphellus sp.,Eoharpes sp.
Asaphellus sp.,Nileus deynouxi
Asaphellus sp.,Palaeosphaeronites sp.
Asaphellus sp.,Palaeosphaeronites? prokopi
Asaphellus sp.,Aristocystites cf. bohemicus (sinuous?)
Asaphellus sp.,Balantiocystis regnelli
Asaphellus sp.,Rhopalocystis destombesi
Asaphellus sp.,Rhopalocystis fraga
Asaphellus sp.,Rhopalocystis grandis
Asaphellus sp.,Rhopalocystis havliceki
Asaphellus sp.,Rhopalocystis zagoraensis
Asaphellus sp.,Lingulocystis elongata
Asaphellus sp.,cf. Pareocrinus
Asaphellus sp.,Eocrinoidea indet. sp. 1
Asaphellus sp.,Eocrinoidea indet. sp. 2
Asaphellus sp.,Eocrinoidea indet.
Asaphellus sp.,Aethocrinus cf. moorei
Asaphellus sp.,Rhenopyrgid indet.
Asaphellus sp.,Amygdalotheca griffei
Asaphellus sp.,Anatifopsis trapeziiformis
Asaphellus sp.,Aspidocarpus sp.
Asaphellus sp.,Chauvelicystis ubaghsi
Asaphellus sp.,Chauvelicystis spinosa
Asaphellus sp.,Chauvelicystis vizcainoi
Asaphellus sp.,Chauvelicystis sp.
Asaphellus sp.,Sokkaejaecystis sp. 1
Asaphellus sp.,Sokkaejaecystis sp. 2
Asaphellus sp.,"Cornuta n. gen. 1, n. sp."
Asaphellus sp.,"Cornuta n. gen. 2, n. sp."
Asaphellus sp.,Flabellicarpus rushtoni
Asaphellus sp.,Galliaecystis n. sp.
Asaphellus sp.,Galliaecystis ubaghsi
Asaphellus sp.,Hanusia n. sp.
Asaphellus sp.,Lagynocystis pyramidalis
Asaphellus sp.,Nanocarpus cf. dolambii
Asaphellus sp.,Phyllocystis blayaci
Asaphellus sp.,Procothurnocystis n. sp.
Asaphellus sp.,Prokopicystis sp.
Asaphellus sp.,Bohemiaecystis n. sp.
Asaphellus sp.,Vizcainocarpus sp.
Asaphellus sp.,Peltocystis cornuta
Asaphellus sp.,Macrocystella bohemica
Asaphellus sp.,"""Didymograptus sp. 1"""
Asaphellus sp.,Didymograptid indet.
Asaphellus sp.,Koremagraptus sp.
Asaphellus sp.,Webbyites felix
Asaphellus sp.,Rhabdopleura-like epibiont
Asaphopsis sp.,Benthic detritus
Asaphopsis sp.,Plectorthis simplex
Asaphopsis sp.,Angusticardinia sp.
Asaphopsis sp.,Wosekella sp.
Asaphopsis sp.,Celdobolus sp.
Asaphopsis sp.,Carcassonnella sp.
Asaphopsis sp.,Wiwaxiid
Asaphopsis sp.,Calvapilosa kroegeri
Asaphopsis sp.,Palaeoscolex cf. tenensis
Asaphopsis sp.,Furca sp. 1
Asaphopsis sp.,Furca sp. 2
Asaphopsis sp.,Furca sp. 3
Asaphopsis sp.,Enosiaspis hrungnir
Asaphopsis sp.,Setapedites abundantis
Asaphopsis sp.,Tariccoia tazagurtensis
Asaphopsis sp.,Cheloniellid
Asaphopsis sp.,Apatokephalus cf. incisus
Asaphopsis sp.,Orometopus sp.
Asaphopsis sp.,Foulonia peregrina
Asaphopsis sp.,Foulonia sp.
Asaphopsis sp.,Toletanaspis aff. borni
Asaphopsis sp.,Bavarilla zemmourensis
Asaphopsis sp.,Bavarilla sp.
Asaphopsis sp.,Colpocoryphe thorali
Asaphopsis sp.,Colpocoryphe pradesensis
Asaphopsis sp.,Pharostomina sp. 
Asaphopsis sp.,Agerina quadrata
Asaphopsis sp.,Geragnostus aff. occitanus
Asaphopsis sp.,Geragnostus sp.
Asaphopsis sp.,Beltella sp.
Asaphopsis sp.,Ampyx priscus
Asaphopsis sp.,Parabathycheilus gallicus
Asaphopsis sp.,Eoharpes sp.
Asaphopsis sp.,Nileus deynouxi
Asaphopsis sp.,Palaeosphaeronites sp.
Asaphopsis sp.,Palaeosphaeronites? prokopi
Asaphopsis sp.,Aristocystites cf. bohemicus (sinuous?)
Asaphopsis sp.,Balantiocystis regnelli
Asaphopsis sp.,Rhopalocystis destombesi
Asaphopsis sp.,Rhopalocystis fraga
Asaphopsis sp.,Rhopalocystis grandis
Asaphopsis sp.,Rhopalocystis havliceki
Asaphopsis sp.,Rhopalocystis zagoraensis
Asaphopsis sp.,Lingulocystis elongata
Asaphopsis sp.,cf. Pareocrinus
Asaphopsis sp.,Eocrinoidea indet. sp. 1
Asaphopsis sp.,Eocrinoidea indet. sp. 2
Asaphopsis sp.,Eocrinoidea indet.
Asaphopsis sp.,Aethocrinus cf. moorei
Asaphopsis sp.,Rhenopyrgid indet.
Asaphopsis sp.,Amygdalotheca griffei
Asaphopsis sp.,Anatifopsis trapeziiformis
Asaphopsis sp.,Aspidocarpus sp.
Asaphopsis sp.,Chauvelicystis ubaghsi
Asaphopsis sp.,Chauvelicystis spinosa
Asaphopsis sp.,Chauvelicystis vizcainoi
Asaphopsis sp.,Chauvelicystis sp.
Asaphopsis sp.,Sokkaejaecystis sp. 1
Asaphopsis sp.,Sokkaejaecystis sp. 2
Asaphopsis sp.,"Cornuta n. gen. 1, n. sp."
Asaphopsis sp.,"Cornuta n. gen. 2, n. sp."
Asaphopsis sp.,Flabellicarpus rushtoni
Asaphopsis sp.,Galliaecystis n. sp.
Asaphopsis sp.,Galliaecystis ubaghsi
Asaphopsis sp.,Hanusia n. sp.
Asaphopsis sp.,Lagynocystis pyramidalis
Asaphopsis sp.,Nanocarpus cf. dolambii
Asaphopsis sp.,Phyllocystis blayaci
Asaphopsis sp.,Procothurnocystis n. sp.
Asaphopsis sp.,Prokopicystis sp.
Asaphopsis sp.,Bohemiaecystis n. sp.
Asaphopsis sp.,Vizcainocarpus sp.
Asaphopsis sp.,Peltocystis cornuta
Asaphopsis sp.,Macrocystella bohemica
Asaphopsis sp.,"""Didymograptus sp. 1"""
Asaphopsis sp.,Didymograptid indet.
Asaphopsis sp.,Koremagraptus sp.
Asaphopsis sp.,Webbyites felix
Asaphopsis sp.,Rhabdopleura-like epibiont
Asaphopsis sp.,Gamalites? sp.
Basilicus (Basiliella?) destombesi,Benthic detritus
Basilicus (Basiliella?) destombesi,Plectorthis simplex
Basilicus (Basiliella?) destombesi,Angusticardinia sp.
Basilicus (Basiliella?) destombesi,Wosekella sp.
Basilicus (Basiliella?) destombesi,Celdobolus sp.
Basilicus (Basiliella?) destombesi,Wiwaxiid
Basilicus (Basiliella?) destombesi,Calvapilosa kroegeri
Basilicus (Basiliella?) destombesi,Plumulites bengtsoni
Basilicus (Basiliella?) destombesi,Large plumulitid
Basilicus (Basiliella?) destombesi,Palaeoscolex cf. tenensis
Basilicus (Basiliella?) destombesi,Furca sp. 1
Basilicus (Basiliella?) destombesi,Furca sp. 2
Basilicus (Basiliella?) destombesi,Furca sp. 3
Basilicus (Basiliella?) destombesi,Enosiaspis hrungnir
Basilicus (Basiliella?) destombesi,Xiphosurid
Basilicus (Basiliella?) destombesi,Tremaglaspis sp.
Basilicus (Basiliella?) destombesi,Cheloniellid
Basilicus (Basiliella?) destombesi,Asaphellus fezouataensis 
Basilicus (Basiliella?) destombesi,Asaphellus sp aff. jujuanus
Basilicus (Basiliella?) destombesi,Asaphellus tataensis
Basilicus (Basiliella?) destombesi,Asaphellus sp.
Basilicus (Basiliella?) destombesi,Playpeltoides carmenae
Basilicus (Basiliella?) destombesi,Symphysurus sicardi
Basilicus (Basiliella?) destombesi,Symphysurus ebbestadi
Basilicus (Basiliella?) destombesi,Symphysurus sp.
Basilicus (Basiliella?) destombesi,Apatokephalus cf. incisus
Basilicus (Basiliella?) destombesi,Orometopus sp.
Basilicus (Basiliella?) destombesi,Foulonia peregrina
Basilicus (Basiliella?) destombesi,Foulonia sp.
Basilicus (Basiliella?) destombesi,Toletanaspis aff. borni
Basilicus (Basiliella?) destombesi,Bavarilla zemmourensis
Basilicus (Basiliella?) destombesi,Bavarilla sp.
Basilicus (Basiliella?) destombesi,Colpocoryphe thorali
Basilicus (Basiliella?) destombesi,Colpocoryphe pradesensis
Basilicus (Basiliella?) destombesi,Colpocoryphe sp.
Basilicus (Basiliella?) destombesi,Pharostomina sp. 
Basilicus (Basiliella?) destombesi,Prionocheilus sp.
Basilicus (Basiliella?) destombesi,Agerina quadrata
Basilicus (Basiliella?) destombesi,Euloma sp.
Basilicus (Basiliella?) destombesi,Beltella sp.
Basilicus (Basiliella?) destombesi,Ampyx priscus
Basilicus (Basiliella?) destombesi,Megistaspis (Ekeraspis) sp. indet.
Basilicus (Basiliella?) destombesi,Parabathycheilus gallicus
Basilicus (Basiliella?) destombesi,Anacheirurus adserai
Basilicus (Basiliella?) destombesi,Eoharpes sp.
Basilicus (Basiliella?) destombesi,Nileus deynouxi
Basilicus (Basiliella?) destombesi,Villebrunaster fezouataensis
Basilicus (Basiliella?) destombesi,Palaeosphaeronites sp.
Basilicus (Basiliella?) destombesi,Palaeosphaeronites? prokopi
Basilicus (Basiliella?) destombesi,Aristocystites cf. bohemicus (sinuous?)
Basilicus (Basiliella?) destombesi,Balantiocystis regnelli
Basilicus (Basiliella?) destombesi,Rhopalocystis destombesi
Basilicus (Basiliella?) destombesi,Rhopalocystis fraga
Basilicus (Basiliella?) destombesi,Rhopalocystis grandis
Basilicus (Basiliella?) destombesi,Rhopalocystis havliceki
Basilicus (Basiliella?) destombesi,Rhopalocystis zagoraensis
Basilicus (Basiliella?) destombesi,Lingulocystis elongata
Basilicus (Basiliella?) destombesi,cf. Pareocrinus
Basilicus (Basiliella?) destombesi,Eocrinoidea indet. sp. 1
Basilicus (Basiliella?) destombesi,Eocrinoidea indet. sp. 2
Basilicus (Basiliella?) destombesi,Eocrinoidea indet.
Basilicus (Basiliella?) destombesi,Aethocrinus cf. moorei
Basilicus (Basiliella?) destombesi,Rhenopyrgid indet.
Basilicus (Basiliella?) destombesi,Amygdalotheca griffei
Basilicus (Basiliella?) destombesi,Anatifopsis trapeziiformis
Basilicus (Basiliella?) destombesi,Aspidocarpus sp.
Basilicus (Basiliella?) destombesi,Chauvelicystis ubaghsi
Basilicus (Basiliella?) destombesi,Chauvelicystis spinosa
Basilicus (Basiliella?) destombesi,Chauvelicystis vizcainoi
Basilicus (Basiliella?) destombesi,Chauvelicystis sp.
Basilicus (Basiliella?) destombesi,Sokkaejaecystis sp. 1
Basilicus (Basiliella?) destombesi,Sokkaejaecystis sp. 2
Basilicus (Basiliella?) destombesi,"Cornuta n. gen. 1, n. sp."
Basilicus (Basiliella?) destombesi,"Cornuta n. gen. 2, n. sp."
Basilicus (Basiliella?) destombesi,Flabellicarpus rushtoni
Basilicus (Basiliella?) destombesi,Galliaecystis n. sp.
Basilicus (Basiliella?) destombesi,Galliaecystis ubaghsi
Basilicus (Basiliella?) destombesi,Hanusia n. sp.
Basilicus (Basiliella?) destombesi,Lagynocystis pyramidalis
Basilicus (Basiliella?) destombesi,Nanocarpus cf. dolambii
Basilicus (Basiliella?) destombesi,Phyllocystis blayaci
Basilicus (Basiliella?) destombesi,Procothurnocystis n. sp.
Basilicus (Basiliella?) destombesi,Prokopicystis sp.
Basilicus (Basiliella?) destombesi,Bohemiaecystis n. sp.
Basilicus (Basiliella?) destombesi,Vizcainocarpus sp.
Basilicus (Basiliella?) destombesi,Peltocystis cornuta
Basilicus (Basiliella?) destombesi,Macrocystella bohemica
Basilicus (Basiliella?) destombesi,cf. Castericystis
Basilicus (Basiliella?) destombesi,Plasiacystis mobilis
Basilicus (Basiliella?) destombesi,Nimchacystis agterbosi
Basilicus (Basiliella?) destombesi,Elegantilites sp.
Basilicus (Basiliella?) destombesi,Gamalites? sp.
Platypeltoides magrebiensis,Benthic detritus
Platypeltoides magrebiensis,Plectorthis simplex
Platypeltoides magrebiensis,Angusticardinia sp.
Platypeltoides magrebiensis,Wosekella sp.
Platypeltoides magrebiensis,Celdobolus sp.
Platypeltoides magrebiensis,Wiwaxiid
Platypeltoides magrebiensis,Calvapilosa kroegeri
Platypeltoides magrebiensis,Plumulites bengtsoni
Platypeltoides magrebiensis,Large plumulitid
Platypeltoides magrebiensis,Palaeoscolex cf. tenensis
Platypeltoides magrebiensis,Furca sp. 1
Platypeltoides magrebiensis,Furca sp. 2
Platypeltoides magrebiensis,Furca sp. 3
Platypeltoides magrebiensis,Enosiaspis hrungnir
Platypeltoides magrebiensis,Xiphosurid
Platypeltoides magrebiensis,Tremaglaspis sp.
Platypeltoides magrebiensis,Cheloniellid
Platypeltoides magrebiensis,Asaphellus sp aff. jujuanus
Platypeltoides magrebiensis,Asaphellus sp.
Platypeltoides magrebiensis,Playpeltoides carmenae
Platypeltoides magrebiensis,Symphysurus sicardi
Platypeltoides magrebiensis,Symphysurus ebbestadi
Platypeltoides magrebiensis,Symphysurus sp.
Platypeltoides magrebiensis,Apatokephalus cf. incisus
Platypeltoides magrebiensis,Orometopus sp.
Platypeltoides magrebiensis,Foulonia peregrina
Platypeltoides magrebiensis,Foulonia sp.
Platypeltoides magrebiensis,Toletanaspis aff. borni
Platypeltoides magrebiensis,Bavarilla zemmourensis
Platypeltoides magrebiensis,Bavarilla sp.
Platypeltoides magrebiensis,Colpocoryphe thorali
Platypeltoides magrebiensis,Colpocoryphe pradesensis
Platypeltoides magrebiensis,Colpocoryphe sp.
Platypeltoides magrebiensis,Pharostomina sp. 
Platypeltoides magrebiensis,Prionocheilus sp.
Platypeltoides magrebiensis,Agerina quadrata
Platypeltoides magrebiensis,Euloma sp.
Platypeltoides magrebiensis,Beltella sp.
Platypeltoides magrebiensis,Ampyx priscus
Platypeltoides magrebiensis,Megistaspis (Ekeraspis) sp. indet.
Platypeltoides magrebiensis,Parabathycheilus gallicus
Platypeltoides magrebiensis,Anacheirurus adserai
Platypeltoides magrebiensis,Eoharpes sp.
Platypeltoides magrebiensis,Nileus deynouxi
Platypeltoides magrebiensis,Villebrunaster fezouataensis
Platypeltoides magrebiensis,Palaeosphaeronites sp.
Platypeltoides magrebiensis,Palaeosphaeronites? prokopi
Platypeltoides magrebiensis,Aristocystites cf. bohemicus (sinuous?)
Platypeltoides magrebiensis,Balantiocystis regnelli
Platypeltoides magrebiensis,Rhopalocystis destombesi
Platypeltoides magrebiensis,Rhopalocystis fraga
Platypeltoides magrebiensis,Rhopalocystis grandis
Platypeltoides magrebiensis,Rhopalocystis havliceki
Platypeltoides magrebiensis,Rhopalocystis zagoraensis
Platypeltoides magrebiensis,Lingulocystis elongata
Platypeltoides magrebiensis,cf. Pareocrinus
Platypeltoides magrebiensis,Eocrinoidea indet. sp. 1
Platypeltoides magrebiensis,Eocrinoidea indet. sp. 2
Platypeltoides magrebiensis,Eocrinoidea indet.
Platypeltoides magrebiensis,Aethocrinus cf. moorei
Platypeltoides magrebiensis,Rhenopyrgid indet.
Platypeltoides magrebiensis,Amygdalotheca griffei
Platypeltoides magrebiensis,Anatifopsis trapeziiformis
Platypeltoides magrebiensis,Aspidocarpus sp.
Platypeltoides magrebiensis,Chauvelicystis ubaghsi
Platypeltoides magrebiensis,Chauvelicystis spinosa
Platypeltoides magrebiensis,Chauvelicystis vizcainoi
Platypeltoides magrebiensis,Chauvelicystis sp.
Platypeltoides magrebiensis,Sokkaejaecystis sp. 1
Platypeltoides magrebiensis,Sokkaejaecystis sp. 2
Platypeltoides magrebiensis,"Cornuta n. gen. 1, n. sp."
Platypeltoides magrebiensis,"Cornuta n. gen. 2, n. sp."
Platypeltoides magrebiensis,Flabellicarpus rushtoni
Platypeltoides magrebiensis,Galliaecystis n. sp.
Platypeltoides magrebiensis,Galliaecystis ubaghsi
Platypeltoides magrebiensis,Hanusia n. sp.
Platypeltoides magrebiensis,Lagynocystis pyramidalis
Platypeltoides magrebiensis,Nanocarpus cf. dolambii
Platypeltoides magrebiensis,Phyllocystis blayaci
Platypeltoides magrebiensis,Procothurnocystis n. sp.
Platypeltoides magrebiensis,Prokopicystis sp.
Platypeltoides magrebiensis,Bohemiaecystis n. sp.
Platypeltoides magrebiensis,Vizcainocarpus sp.
Platypeltoides magrebiensis,Peltocystis cornuta
Platypeltoides magrebiensis,Macrocystella bohemica
Platypeltoides magrebiensis,cf. Castericystis
Platypeltoides magrebiensis,Plasiacystis mobilis
Platypeltoides magrebiensis,Elegantilites sp.
Platypeltoides magrebiensis,Gamalites? sp.
Platypeltoides hammondi,Benthic detritus
Platypeltoides hammondi,Plectorthis simplex
Platypeltoides hammondi,Angusticardinia sp.
Platypeltoides hammondi,Wosekella sp.
Platypeltoides hammondi,Celdobolus sp.
Platypeltoides hammondi,Wiwaxiid
Platypeltoides hammondi,Calvapilosa kroegeri
Platypeltoides hammondi,Palaeoscolex cf. tenensis
Platypeltoides hammondi,Furca sp. 1
Platypeltoides hammondi,Furca sp. 2
Platypeltoides hammondi,Furca sp. 3
Platypeltoides hammondi,Enosiaspis hrungnir
Platypeltoides hammondi,Setapedites abundantis
Platypeltoides hammondi,Xiphosurid
Platypeltoides hammondi,Tariccoia tazagurtensis
Platypeltoides hammondi,Cheloniellid
Platypeltoides hammondi,Asaphellus sp aff. jujuanus
Platypeltoides hammondi,Symphysurus sicardi
Platypeltoides hammondi,Symphysurus ebbestadi
Platypeltoides hammondi,Symphysurus sp.
Platypeltoides hammondi,Apatokephalus cf. incisus
Platypeltoides hammondi,Orometopus sp.
Platypeltoides hammondi,Foulonia peregrina
Platypeltoides hammondi,Foulonia sp.
Platypeltoides hammondi,Toletanaspis aff. borni
Platypeltoides hammondi,Bavarilla zemmourensis
Platypeltoides hammondi,Bavarilla sp.
Platypeltoides hammondi,Colpocoryphe thorali
Platypeltoides hammondi,Colpocoryphe pradesensis
Platypeltoides hammondi,Pharostomina sp. 
Platypeltoides hammondi,Agerina quadrata
Platypeltoides hammondi,Euloma sp.
Platypeltoides hammondi,Geragnostus aff. occitanus
Platypeltoides hammondi,Geragnostus sp.
Platypeltoides hammondi,Beltella sp.
Platypeltoides hammondi,Ampyx priscus
Platypeltoides hammondi,Parabathycheilus gallicus
Platypeltoides hammondi,Anacheirurus adserai
Platypeltoides hammondi,Eoharpes sp.
Platypeltoides hammondi,Nileus deynouxi
Platypeltoides hammondi,Villebrunaster fezouataensis
Platypeltoides hammondi,Palaeosphaeronites sp.
Platypeltoides hammondi,Palaeosphaeronites? prokopi
Platypeltoides hammondi,Aristocystites cf. bohemicus (sinuous?)
Platypeltoides hammondi,Balantiocystis regnelli
