Cons._sp.,Resource_sp.
Polymeres sp.,Rhabdinopora flabelliforme multithecatum
Polymeres sp.,Rhabdinopora flabelliformis socialis
Polymeres sp.,Rhabdinopora flabelliformis canadenisis
Polymeres sp.,Rhabdinopora flabelliforme norvegicum
Polymeres sp.,Adelograptus tenellus
Polymeres sp.,Choristograptus louai
Polymeres sp.,Ancoragraptus bulmani
Polymeres sp.,Webbyites felix
Polymeres sp.,Rhabdopleura-like epibiont
Polymeres sp.,Drepanoistodus? cf. pervetus
Polymeres sp.,Acodus deltatus
Polymeres sp.,Cornuodus longibasis
Polymeres sp.,Parapaltodus aff. simplicissimus
Polymeres sp.,Paroistodus cf. proteus
Polymeres sp.,Periodon cf. primus
Polymeres sp.,Prioniodus sp.
Polymeres sp.,Protopanderodus cf. leonardii
Polymeres sp.,Scolopodus aff. krummi
Polymeres sp.,Semiacontiodus sp.
Polymeres sp.,Semiacontiodus cf. cornuformis
Polymeres sp.,Tripodus sp.
Plumulites bengtsoni,Benthic detritus
Plumulites bengtsoni,Carcassonnella sp.
Plumulites bengtsoni,Large plumulitid
Plumulites bengtsoni,Setapedites abundantis
Plumulites bengtsoni,Orometopus sp.
Plumulites bengtsoni,"""Didymograptus sp. 1"""
Plumulites bengtsoni,Didymograptid indet.
Plumulites bengtsoni,Koremagraptus sp.
Plumulites bengtsoni,Webbyites felix
Plumulites bengtsoni,Rhabdopleura-like epibiont
Large plumulitid,Benthic detritus
Large plumulitid,Carcassonnella sp.
Large plumulitid,Plumulites bengtsoni
Large plumulitid,Enosiaspis hrungnir
Large plumulitid,Setapedites abundantis
Large plumulitid,Orometopus sp.
Large plumulitid,Geragnostus sp.
Large plumulitid,"""Didymograptus sp. 1"""
Large plumulitid,Didymograptid indet.
Large plumulitid,Koremagraptus sp.
Large plumulitid,Webbyites felix
Large plumulitid,Rhabdopleura-like epibiont
Palaeoscolex cf. tenensis,Benthic detritus
Palaeoscolex cf. tenensis,Plectorthis simplex
Palaeoscolex cf. tenensis,Angusticardinia sp.
Palaeoscolex cf. tenensis,Wosekella sp.
Palaeoscolex cf. tenensis,Celdobolus sp.
Palaeoscolex cf. tenensis,Plumulites bengtsoni
Palaeoscolex cf. tenensis,Large plumulitid
Palaeoscolex cf. tenensis,Enosiaspis hrungnir
Palaeoscolex cf. tenensis,Setapedites abundantis
Palaeoscolex cf. tenensis,Tariccoia tazagurtensis
Palaeoscolex cf. tenensis,Orometopus sp.
Palaeoscolex cf. tenensis,Geragnostus sp.
Palaeoscolex cf. tenensis,Ampyx priscus
Palaeoscolex cf. tenensis,Nileus deynouxi
Palaeoscolex cf. tenensis,Gamalites? sp.
Aegirocassis benmoulai,Zooplankton
Aegirocassis benmoulai,Clonograptus rigidus
Aegirocassis benmoulai,Clonograptus flexibilis
Aegirocassis benmoulai,Clonograptus multiplex
Aegirocassis benmoulai,Dichograptidae?
Aegirocassis benmoulai,Hunnegraptus copiosus
Aegirocassis benmoulai, 'Kiaerograptus' supremus
Aegirocassis benmoulai,Paradelograptus norvegicus
Aegirocassis benmoulai,Paradelograptus tenuis
Aegirocassis benmoulai,Paratemnograptus magnificus
Aegirocassis benmoulai, 'Tetragraptus' bulmani
Aegirocassis benmoulai,Tetragraptus sp. (3-stiped)
Aegirocassis benmoulai,Sagenograptus murrayi
Aegirocassis benmoulai,Anisograptus cf. matanensis
Aegirocassis benmoulai,Bryograptus divergens
Aegirocassis benmoulai,Bryograptus kjerulfi cumbrensis
Aegirocassis benmoulai,Bryograptus lapworthi
Aegirocassis benmoulai,Rhabdinopora flabelliforme cf. anglica
Aegirocassis benmoulai,Rhabdinopora flabelliforme flabelliforme
Aegirocassis benmoulai,Rhabdinopora flabelliforme multithecatum
Aegirocassis benmoulai,Rhabdinopora flabelliformis socialis
Aegirocassis benmoulai,Rhabdinopora flabelliformis canadenisis
Aegirocassis benmoulai,Rhabdinopora flabelliforme norvegicum
Aegirocassis benmoulai,Adelograptus tenellus
Aegirocassis benmoulai,Choristograptus louai
Aegirocassis benmoulai,Ancoragraptus bulmani
Furca sp. 1,suspended organic matter
Furca sp. 1,Zooplankton
Furca sp. 2,suspended organic matter
Furca sp. 2,Zooplankton
Furca sp. 3,suspended organic matter
Furca sp. 3,Zooplankton
Enosiaspis hrungnir,Benthic detritus
Setapedites abundantis,Carcassonnella sp.
Setapedites abundantis,"""Didymograptus sp. 1"""
Setapedites abundantis,Didymograptid indet.
Setapedites abundantis,Koremagraptus sp.
Setapedites abundantis,Webbyites felix
Setapedites abundantis,Rhabdopleura-like epibiont
Xiphosurid,Alga type 1
Xiphosurid,Carcassonnella sp.
Xiphosurid,Plumulites bengtsoni
Xiphosurid,Enosiaspis hrungnir
Xiphosurid,Setapedites abundantis
Xiphosurid,Tariccoia tazagurtensis
Xiphosurid,Orometopus sp.
Xiphosurid,Agerina quadrata
Xiphosurid,Geragnostus aff. occitanus
Xiphosurid,Geragnostus sp.
Xiphosurid,"""Didymograptus sp. 1"""
Xiphosurid,Didymograptid indet.
Xiphosurid,Koremagraptus sp.
Xiphosurid,Webbyites felix
Xiphosurid,Rhabdopleura-like epibiont
Tariccoita tazagurtensis,Benthic detritus
Tariccoita tazagurtensis,Archaeoconularia sp.
Tariccoita tazagurtensis,Eoconularia sp.
Tariccoita tazagurtensis,Sphenothallus sp. 1
Tariccoita tazagurtensis,Wiwaxiid
Tariccoita tazagurtensis,"""Didymograptus sp. 1"""
Tariccoita tazagurtensis,Didymograptid indet.
Tariccoita tazagurtensis,Koremagraptus sp.
Tariccoita tazagurtensis,Webbyites felix
Tariccoita tazagurtensis,Rhabdopleura-like epibiont
Tremaglaspis sp.,suspended organic matter
Tremaglaspis sp.,Benthic detritus
Cheloniellid,Benthic detritus
Cheloniellid,Alga type 1
Cheloniellid,Carcassonnella sp.
Cheloniellid,Enosiaspis hrungnir
Cheloniellid,Setapedites abundantis
Cheloniellid,Tariccoia tazagurtensis
Cheloniellid,Orometopus sp.
Cheloniellid,Toletanaspis aff. borni
Cheloniellid,Agerina quadrata
Cheloniellid,Geragnostus aff. occitanus
Cheloniellid,Geragnostus sp.
Cheloniellid,Ampyx priscus
Cheloniellid,Nileus deynouxi
Cheloniellid,"""Didymograptus sp. 1"""
Cheloniellid,Didymograptid indet.
Cheloniellid,Koremagraptus sp.
Cheloniellid,Webbyites felix
Cheloniellid,Rhabdopleura-like epibiont
Pseudoangustidontus duplospineus,Zooplankton
Pseudoangustidontus duplospineus,Clonograptus rigidus
Pseudoangustidontus duplospineus,Clonograptus flexibilis
Pseudoangustidontus duplospineus,Clonograptus multiplex
Pseudoangustidontus duplospineus,Dichograptidae?
Pseudoangustidontus duplospineus,Hunnegraptus copiosus
Pseudoangustidontus duplospineus, 'Kiaerograptus' supremus
Pseudoangustidontus duplospineus,Paradelograptus norvegicus
Pseudoangustidontus duplospineus,Paradelograptus tenuis
Pseudoangustidontus duplospineus,Paratemnograptus magnificus
Pseudoangustidontus duplospineus, 'Tetragraptus' bulmani
Pseudoangustidontus duplospineus,Tetragraptus sp. (3-stiped)
Pseudoangustidontus duplospineus,Sagenograptus murrayi
Pseudoangustidontus duplospineus,Anisograptus cf. matanensis
Pseudoangustidontus duplospineus,Bryograptus divergens
Pseudoangustidontus duplospineus,Bryograptus kjerulfi cumbrensis
Pseudoangustidontus duplospineus,Bryograptus lapworthi
Pseudoangustidontus duplospineus,Rhabdinopora flabelliforme cf. anglica
Pseudoangustidontus duplospineus,Rhabdinopora flabelliforme flabelliforme
Pseudoangustidontus duplospineus,Rhabdinopora flabelliforme multithecatum
Pseudoangustidontus duplospineus,Rhabdinopora flabelliformis socialis
Pseudoangustidontus duplospineus,Rhabdinopora flabelliformis canadenisis
Pseudoangustidontus duplospineus,Rhabdinopora flabelliforme norvegicum
Pseudoangustidontus duplospineus,Adelograptus tenellus
Pseudoangustidontus duplospineus,Choristograptus louai
Pseudoangustidontus duplospineus,Ancoragraptus bulmani
Pseudoangustidontus sp.,Zooplankton
Pseudoangustidontus sp.,Clonograptus rigidus
Pseudoangustidontus sp.,Clonograptus flexibilis
Pseudoangustidontus sp.,Clonograptus multiplex
Pseudoangustidontus sp.,Dichograptidae?
Pseudoangustidontus sp.,Hunnegraptus copiosus
Pseudoangustidontus sp., 'Kiaerograptus' supremus
Pseudoangustidontus sp.,Paradelograptus norvegicus
