Cons._sp.,Resource_sp.,Certainty level
Polymeres sp.,Geragnostus sp.,1
Polymeres sp.,Ampyx priscus,1
Polymeres sp.,Nileus deynouxi,1
Polymeres sp.,Palaeosphaeronites sp.,1
Polymeres sp.,Palaeosphaeronites? prokopi,1
Polymeres sp.,Aristocystites cf. bohemicus (sinuous?),1
Polymeres sp.,Balantiocystis regnelli,1
Polymeres sp.,Rhopalocystis destombesi,1
Polymeres sp.,Rhopalocystis fraga,1
Polymeres sp.,Rhopalocystis grandis,1
Polymeres sp.,Rhopalocystis havliceki,1
Polymeres sp.,Rhopalocystis zagoraensis,1
Polymeres sp.,Lingulocystis elongata,1
Polymeres sp.,cf. Pareocrinus,1
Polymeres sp.,Eocrinoidea indet. sp. 1,1
Polymeres sp.,Eocrinoidea indet. sp. 2,1
Polymeres sp.,Eocrinoidea indet.,1
Polymeres sp.,Aethocrinus cf. moorei,1
Polymeres sp.,Rhenopyrgid indet.,1
Polymeres sp.,Amygdalotheca griffei,1
Polymeres sp.,Anatifopsis trapeziiformis,1
Polymeres sp.,Aspidocarpus sp.,1
Polymeres sp.,Chauvelicystis ubaghsi,1
Polymeres sp.,Chauvelicystis spinosa,1
Polymeres sp.,Chauvelicystis vizcainoi,1
Polymeres sp.,Sokkaejaecystis sp. 1,1
Polymeres sp.,Sokkaejaecystis sp. 2,1
Polymeres sp.,"Cornuta n. gen. 1, n. sp.",1
Polymeres sp.,"Cornuta n. gen. 2, n. sp.",1
Polymeres sp.,Flabellicarpus rushtoni,1
Polymeres sp.,Galliaecystis n. sp.,1
Polymeres sp.,Galliaecystis ubaghsi,1
Polymeres sp.,Hanusia n. sp.,1
Polymeres sp.,Lagynocystis pyramidalis,1
Polymeres sp.,Nanocarpus cf. dolambii,1
Polymeres sp.,Phyllocystis blayaci,1
Polymeres sp.,Procothurnocystis n. sp.,1
Polymeres sp.,Prokopicystis sp.,1
Polymeres sp.,Bohemiaecystis n. sp.,1
Polymeres sp.,Vizcainocarpus sp.,1
Polymeres sp.,Peltocystis cornuta,1
Polymeres sp.,Macrocystella bohemica,1
Polymeres sp.,cf. Castericystis,1
Polymeres sp.,Plasiacystis mobilis,1
Polymeres sp.,Nimchacystis agterbosi,1
Polymeres sp.,Clonograptus rigidus,1
Polymeres sp.,Clonograptus multiplex,1
Polymeres sp.,Kiaerograptus'? sp. (slightly deflexed),1
Polymeres sp.,Hunnegraptus copiosus??,1
Polymeres sp., 'Kiaerograptus' supremus,1
Polymeres sp.,Paradelograptus norvegicus,1
Polymeres sp.,Paradelograptus tenuis,1
Polymeres sp.,Paratemnograptus magnificus,1
Polymeres sp., 'Tetragraptus' bulmani,1
Polymeres sp.,Tetragraptus sp. (3-stiped),1
Polymeres sp.,Sagenograptus murrayi,1
Polymeres sp.,Rhabdinopora anglica,1
Polymeres sp.,Rhabdinopora flabelliforme,1
Polymeres sp.,Rhabdinopora socialis,1
Polymeres sp.,Rhabdinopora canadensis,1
Polymeres sp.,Adelograptus tenellus,1
Polymeres sp.,Choristograptus louai,1
Polymeres sp.,Ancoragraptus bulmani,1
Polymeres sp.,Webbyites felix,1
Polymeres sp.,Drepanoistodus? cf. pervetus,1
Polymeres sp.,Acodus deltatus,1
Polymeres sp.,Cornuodus longibasis,1
Polymeres sp.,Parapaltodus aff. simplicissimus,1
Polymeres sp.,Paroistodus cf. proteus,1
Polymeres sp.,Periodon cf. primus,1
Polymeres sp.,Prioniodus sp.,1
Polymeres sp.,Protopanderodus cf. leonardii,1
Polymeres sp.,Scolopodus aff. krummi,1
Polymeres sp.,Semiacontiodus sp.,1
Polymeres sp.,Semiacontiodus cf. cornuformis,1
Polymeres sp.,Tripodus sp.,1
Plumulites bengtsoni,Benthic detritus,2
