Cons._sp.,Resource_sp.,Certainty level
Asaphellus' cuervoae,Nothorthis sp.,1
Asaphellus' cuervoae,Nanorthis sp.,1
Asaphellus' cuervoae,Euorthisina sp. 1,1
Asaphellus' cuervoae,Kvania sp.,1
Asaphellus' cuervoae,Tinzoulinorthis fasciata,1
Asaphellus' cuervoae,Tinzoulinorthis? sp.,1
Asaphellus' cuervoae,Incorthis sp.,1
Asaphellus' cuervoae,Nocturnellia sp.,1
Asaphellus' cuervoae,Ribeiria cf. personata,1
Asaphellus' cuervoae,Indiligens sp.,1
Asaphellus' cuervoae,Symphysurina sp.,1
Asaphellus' cuervoae,Cephalodiscid hemichordate,1
Asaphellus' cuervoae,Babinka prima,1
Asaphellus' cuervoae,Redonia michelae,1
Asaphellus' cuervoae,Pelecyogyra fezouataensis,1
Asaphellus' cuervoae,Carcassonnella sp.,1
Asaphellus' cuervoae,Wiwaxiid,1
Asaphellus' cuervoae,Calvapilosa kroegeri,1
Asaphellus' cuervoae,Palaeoscolex cf. tenensis,2
Asaphellus' cuervoae,Selkirkia tsering,2
Asaphellus' cuervoae,Furca sp. 1,1
Asaphellus' cuervoae,Furca sp. 2,1
Asaphellus' cuervoae,Furca sp. 3,1
Asaphellus' cuervoae,Enosiaspis hrungnir,1
Asaphellus' cuervoae,Setapedites abundantis,1
Asaphellus' cuervoae,Tariccoia tazagurtensis,1
Asaphellus' cuervoae,Cheloniellid,1
Asaphellus' cuervoae,Apatokephalus cf. incisus,1
Asaphellus' cuervoae,Orometopus sp.,1
Asaphellus' cuervoae,Foulonia peregrina,1
Asaphellus' cuervoae,Toletanaspis aff. borni,1
Asaphellus' cuervoae,Bavarilla zemmourensis,1
Asaphellus' cuervoae,Colpocoryphe thorali,1
Asaphellus' cuervoae,Colpocoryphe pradesensis,1
Asaphellus' cuervoae,Pharostomina sp. ,1
Asaphellus' cuervoae,Agerina quadrata,1
Asaphellus' cuervoae,Geragnostus sp.,1
Asaphellus' cuervoae,Ampyx priscus,1
Asaphellus' cuervoae,Parabathycheilus gallicus,1
Asaphellus' cuervoae,Eoharpes sp.,1
Asaphellus' cuervoae,Nileus deynouxi,1
Asaphellus' cuervoae,Palaeosphaeronites sp.,1
Asaphellus' cuervoae,Palaeosphaeronites? prokopi,1
Asaphellus' cuervoae,Aristocystites cf. bohemicus (sinuous?),1
Asaphellus' cuervoae,Balantiocystis regnelli,1
Asaphellus' cuervoae,Rhopalocystis destombesi,1
Asaphellus' cuervoae,Rhopalocystis fraga,1
Asaphellus' cuervoae,Rhopalocystis grandis,1
Asaphellus' cuervoae,Rhopalocystis havliceki,1
Asaphellus' cuervoae,Rhopalocystis zagoraensis,1
Asaphellus' cuervoae,Lingulocystis elongata,1
Asaphellus' cuervoae,cf. Pareocrinus,1
Asaphellus' cuervoae,Eocrinoidea indet. sp. 1,1
Asaphellus' cuervoae,Eocrinoidea indet. sp. 2,1
Asaphellus' cuervoae,Eocrinoidea indet.,1
Asaphellus' cuervoae,Aethocrinus cf. moorei,1
Asaphellus' cuervoae,Rhenopyrgid indet.,1
Asaphellus' cuervoae,Amygdalotheca griffei,1
Asaphellus' cuervoae,Anatifopsis trapeziiformis,1
Asaphellus' cuervoae,Aspidocarpus sp.,1
Asaphellus' cuervoae,Chauvelicystis ubaghsi,1
Asaphellus' cuervoae,Chauvelicystis spinosa,1
Asaphellus' cuervoae,Chauvelicystis vizcainoi,1
Asaphellus' cuervoae,Sokkaejaecystis sp. 1,1
Asaphellus' cuervoae,Sokkaejaecystis sp. 2,1
Asaphellus' cuervoae,"Cornuta n. gen. 1, n. sp.",1
Asaphellus' cuervoae,"Cornuta n. gen. 2, n. sp.",1
Asaphellus' cuervoae,Flabellicarpus rushtoni,1
Asaphellus' cuervoae,Galliaecystis n. sp.,1
Asaphellus' cuervoae,Galliaecystis ubaghsi,1
Asaphellus' cuervoae,Hanusia n. sp.,1
Asaphellus' cuervoae,Lagynocystis pyramidalis,1
Asaphellus' cuervoae,Nanocarpus cf. dolambii,1
Asaphellus' cuervoae,Phyllocystis blayaci,1
Asaphellus' cuervoae,Procothurnocystis n. sp.,1
Asaphellus' cuervoae,Prokopicystis sp.,1
Asaphellus' cuervoae,Bohemiaecystis n. sp.,1
Asaphellus' cuervoae,Vizcainocarpus sp.,1
Asaphellus' cuervoae,Peltocystis cornuta,1
Asaphellus' cuervoae,Macrocystella bohemica,1
Asaphellus' cuervoae,Kiaerograptus'? sp. (slightly deflexed),1
Asaphellus' cuervoae,Webbyites felix,1
Asaphellus fezouataensis ,Benthic detritus,1
Asaphellus fezouataensis ,Plectorthis simplex,1
Asaphellus fezouataensis ,Angusticardinia sp.,1
Asaphellus fezouataensis ,Wosekella maghribi  ,1
Asaphellus fezouataensis ,Celdobolus mirandus,1
Asaphellus fezouataensis ,Babinka prima,1
Asaphellus fezouataensis ,Redonia michelae,1
Asaphellus fezouataensis ,Pelecyogyra fezouataensis,1
Asaphellus fezouataensis ,Carcassonnella sp.,1
Asaphellus fezouataensis ,Wiwaxiid,1
Asaphellus fezouataensis ,Calvapilosa kroegeri,1
Asaphellus fezouataensis ,Palaeoscolex cf. tenensis,2
Asaphellus fezouataensis ,Furca sp. 1,1
Asaphellus fezouataensis ,Furca sp. 2,1
Asaphellus fezouataensis ,Furca sp. 3,1
Asaphellus fezouataensis ,Enosiaspis hrungnir,1
Asaphellus fezouataensis ,Setapedites abundantis,1
Asaphellus fezouataensis ,Tariccoia tazagurtensis,1
Asaphellus fezouataensis ,Cheloniellid,1
Asaphellus fezouataensis ,Apatokephalus cf. incisus,1
Asaphellus fezouataensis ,Orometopus sp.,1
Asaphellus fezouataensis ,Foulonia peregrina,1
Asaphellus fezouataensis ,Toletanaspis aff. borni,1
Asaphellus fezouataensis ,Bavarilla zemmourensis,1
Asaphellus fezouataensis ,Colpocoryphe thorali,1
Asaphellus fezouataensis ,Colpocoryphe pradesensis,1
Asaphellus fezouataensis ,Pharostomina sp. ,1
Asaphellus fezouataensis ,Agerina quadrata,1
Asaphellus fezouataensis ,Geragnostus sp.,1
Asaphellus fezouataensis ,Ampyx priscus,1
Asaphellus fezouataensis ,Parabathycheilus gallicus,1
Asaphellus fezouataensis ,Eoharpes sp.,1
Asaphellus fezouataensis ,Nileus deynouxi,1
Asaphellus fezouataensis ,Palaeosphaeronites sp.,1
Asaphellus fezouataensis ,Palaeosphaeronites? prokopi,1
Asaphellus fezouataensis ,Aristocystites cf. bohemicus (sinuous?),1
Asaphellus fezouataensis ,Balantiocystis regnelli,1
Asaphellus fezouataensis ,Rhopalocystis destombesi,1
Asaphellus fezouataensis ,Rhopalocystis fraga,1
Asaphellus fezouataensis ,Rhopalocystis grandis,1
Asaphellus fezouataensis ,Rhopalocystis havliceki,1
Asaphellus fezouataensis ,Rhopalocystis zagoraensis,1
Asaphellus fezouataensis ,Lingulocystis elongata,1
Asaphellus fezouataensis ,cf. Pareocrinus,1
Asaphellus fezouataensis ,Eocrinoidea indet. sp. 1,1
Asaphellus fezouataensis ,Eocrinoidea indet. sp. 2,1
Asaphellus fezouataensis ,Eocrinoidea indet.,1
Asaphellus fezouataensis ,Aethocrinus cf. moorei,1
Asaphellus fezouataensis ,Rhenopyrgid indet.,1
Asaphellus fezouataensis ,Amygdalotheca griffei,1
Asaphellus fezouataensis ,Anatifopsis trapeziiformis,1
Asaphellus fezouataensis ,Aspidocarpus sp.,1
Asaphellus fezouataensis ,Chauvelicystis ubaghsi,1
Asaphellus fezouataensis ,Chauvelicystis spinosa,1
Asaphellus fezouataensis ,Chauvelicystis vizcainoi,1
Asaphellus fezouataensis ,Sokkaejaecystis sp. 1,1
Asaphellus fezouataensis ,Sokkaejaecystis sp. 2,1
Asaphellus fezouataensis ,"Cornuta n. gen. 1, n. sp.",1
Asaphellus fezouataensis ,"Cornuta n. gen. 2, n. sp.",1
Asaphellus fezouataensis ,Flabellicarpus rushtoni,1
Asaphellus fezouataensis ,Galliaecystis n. sp.,1
Asaphellus fezouataensis ,Galliaecystis ubaghsi,1
Asaphellus fezouataensis ,Hanusia n. sp.,1
Asaphellus fezouataensis ,Lagynocystis pyramidalis,1
Asaphellus fezouataensis ,Nanocarpus cf. dolambii,1
Asaphellus fezouataensis ,Phyllocystis blayaci,1
Asaphellus fezouataensis ,Procothurnocystis n. sp.,1
Asaphellus fezouataensis ,Prokopicystis sp.,1
Asaphellus fezouataensis ,Bohemiaecystis n. sp.,1
Asaphellus fezouataensis ,Vizcainocarpus sp.,1
Asaphellus fezouataensis ,Peltocystis cornuta,1
Asaphellus fezouataensis ,Macrocystella bohemica,1
Asaphellus fezouataensis ,Kiaerograptus'? sp. (slightly deflexed),1
Asaphellus fezouataensis ,Webbyites felix,1
Asaphellus fezouataensis ,Tarfaya sp.,1
Asaphellus fezouataensis ,Wosekella filiola,1
Asaphellus fezouataensis ,Sedlecilingula sp.,1
Asaphellus fezouataensis ,Lingulella lata?,1
Asaphellus fezouataensis ,Glossella sp.,1
Asaphellus fezouataensis ,Rafanoglossa inversa,1
Asaphellus fezouataensis ,Spondyglossella? sp.,1
Asaphellus fezouataensis ,Obolidae indet.,1
Asaphellus fezouataensis ,Orbithele tazagurta,1
Asaphellus fezouataensis ,Lacunites punctum,1
Asaphellus fezouataensis ,Nothorthis sp.,1
Asaphellus fezouataensis ,Nanorthis sp.,1
Asaphellus fezouataensis ,Euorthisina sp. 1,1
Asaphellus fezouataensis ,Kvania sp.,1
Asaphellus fezouataensis ,Tinzoulinorthis fasciata,1
Asaphellus fezouataensis ,Tinzoulinorthis? sp.,1
Asaphellus fezouataensis ,Incorthis sp.,1
Asaphellus fezouataensis ,Nocturnellia sp.,1
Asaphellus fezouataensis ,Ribeiria cf. personata,1
Asaphellus fezouataensis ,Selkirkia tsering,1
Asaphellus fezouataensis ,Indiligens sp.,1
Asaphellus fezouataensis ,Symphysurina sp.,1
Asaphellus fezouataensis ,Cephalodiscid hemichordate,1
Asaphellus sp aff. jujuanus,Benthic detritus,1
Asaphellus sp aff. jujuanus,Plectorthis simplex,1
Asaphellus sp aff. jujuanus,Angusticardinia sp.,1
Asaphellus sp aff. jujuanus,Wosekella maghribi  ,1
Asaphellus sp aff. jujuanus,Celdobolus mirandus,1
Asaphellus sp aff. jujuanus,Redonia michelae,1
Asaphellus sp aff. jujuanus,Carcassonnella sp.,1
Asaphellus sp aff. jujuanus,Wiwaxiid,1
Asaphellus sp aff. jujuanus,Furca sp. 1,1
Asaphellus sp aff. jujuanus,Furca sp. 2,1
Asaphellus sp aff. jujuanus,Furca sp. 3,1
Asaphellus sp aff. jujuanus,Enosiaspis hrungnir,1
Asaphellus sp aff. jujuanus,Setapedites abundantis,1
Asaphellus sp aff. jujuanus,Tariccoia tazagurtensis,1
Asaphellus sp aff. jujuanus,Cheloniellid,1
Asaphellus sp aff. jujuanus,Apatokephalus cf. incisus,1
Asaphellus sp aff. jujuanus,Orometopus sp.,1
Asaphellus sp aff. jujuanus,Toletanaspis aff. borni,1
Asaphellus sp aff. jujuanus,Colpocoryphe thorali,1
Asaphellus sp aff. jujuanus,Agerina quadrata,1
Asaphellus sp aff. jujuanus,Geragnostus sp.,1
Asaphellus sp aff. jujuanus,Ampyx priscus,1
Asaphellus sp aff. jujuanus,Parabathycheilus gallicus,1
Asaphellus sp aff. jujuanus,Nileus deynouxi,1
Asaphellus sp aff. jujuanus,Palaeosphaeronites sp.,1
Asaphellus sp aff. jujuanus,Palaeosphaeronites? prokopi,1
Asaphellus sp aff. jujuanus,Aristocystites cf. bohemicus (sinuous?),1
Asaphellus sp aff. jujuanus,Balantiocystis regnelli,1
Asaphellus sp aff. jujuanus,Rhopalocystis destombesi,1
Asaphellus sp aff. jujuanus,Rhopalocystis fraga,1
Asaphellus sp aff. jujuanus,Rhopalocystis grandis,1
Asaphellus sp aff. jujuanus,Rhopalocystis havliceki,1
Asaphellus sp aff. jujuanus,Rhopalocystis zagoraensis,1
Asaphellus sp aff. jujuanus,Lingulocystis elongata,1
Asaphellus sp aff. jujuanus,cf. Pareocrinus,1
Asaphellus sp aff. jujuanus,Eocrinoidea indet. sp. 1,1
Asaphellus sp aff. jujuanus,Eocrinoidea indet. sp. 2,1
Asaphellus sp aff. jujuanus,Eocrinoidea indet.,1
Asaphellus sp aff. jujuanus,Aethocrinus cf. moorei,1
Asaphellus sp aff. jujuanus,Rhenopyrgid indet.,1
Asaphellus sp aff. jujuanus,Amygdalotheca griffei,1
Asaphellus sp aff. jujuanus,Anatifopsis trapeziiformis,1
Asaphellus sp aff. jujuanus,Aspidocarpus sp.,1
Asaphellus sp aff. jujuanus,Chauvelicystis ubaghsi,1
Asaphellus sp aff. jujuanus,Chauvelicystis spinosa,1
Asaphellus sp aff. jujuanus,Chauvelicystis vizcainoi,1
Asaphellus sp aff. jujuanus,Sokkaejaecystis sp. 1,1
Asaphellus sp aff. jujuanus,Sokkaejaecystis sp. 2,1
Asaphellus sp aff. jujuanus,"Cornuta n. gen. 1, n. sp.",1
Asaphellus sp aff. jujuanus,"Cornuta n. gen. 2, n. sp.",1
Asaphellus sp aff. jujuanus,Flabellicarpus rushtoni,1
Asaphellus sp aff. jujuanus,Galliaecystis n. sp.,1
Asaphellus sp aff. jujuanus,Galliaecystis ubaghsi,1
Asaphellus sp aff. jujuanus,Hanusia n. sp.,1
Asaphellus sp aff. jujuanus,Lagynocystis pyramidalis,1
Asaphellus sp aff. jujuanus,Nanocarpus cf. dolambii,1
Asaphellus sp aff. jujuanus,Phyllocystis blayaci,1
Asaphellus sp aff. jujuanus,Procothurnocystis n. sp.,1
Asaphellus sp aff. jujuanus,Prokopicystis sp.,1
Asaphellus sp aff. jujuanus,Bohemiaecystis n. sp.,1
Asaphellus sp aff. jujuanus,Vizcainocarpus sp.,1
Asaphellus sp aff. jujuanus,Peltocystis cornuta,1
Asaphellus sp aff. jujuanus,Macrocystella bohemica,1
Asaphellus sp aff. jujuanus,Kiaerograptus'? sp. (slightly deflexed),1
Asaphellus sp aff. jujuanus,Webbyites felix,1
Asaphellus sp aff. jujuanus,Tarfaya sp.,1
Asaphellus sp aff. jujuanus,Wosekella filiola,1
Asaphellus sp aff. jujuanus,Lingulella lata?,1
Asaphellus sp aff. jujuanus,Glossella sp.,1
Asaphellus sp aff. jujuanus,Rafanoglossa inversa,1
Asaphellus sp aff. jujuanus,Spondyglossella? sp.,1
Asaphellus sp aff. jujuanus,Obolidae indet.,1
Asaphellus sp aff. jujuanus,Orbithele tazagurta,1
Asaphellus sp aff. jujuanus,Lacunites punctum,1
Asaphellus sp aff. jujuanus,Nanorthis sp.,1
Asaphellus sp aff. jujuanus,Euorthisina sp. 1,1
Asaphellus sp aff. jujuanus,Kvania sp.,1
Asaphellus sp aff. jujuanus,Tinzoulinorthis fasciata,1
Asaphellus sp aff. jujuanus,Tinzoulinorthis? sp.,1
Asaphellus sp aff. jujuanus,Incorthis sp.,1
Asaphellus sp aff. jujuanus,Nocturnellia sp.,1
Asaphellus sp aff. jujuanus,Ribeiria cf. personata,1
Asaphellus sp aff. jujuanus,Indiligens sp.,1
Asaphellus sp aff. jujuanus,Cephalodiscid hemichordate,1
Asaphellus tataensis,Benthic detritus,1
Asaphellus tataensis,Plectorthis simplex,1
Asaphellus tataensis,Angusticardinia sp.,1
Asaphellus tataensis,Wosekella maghribi  ,1
Asaphellus tataensis,Celdobolus mirandus,1
Asaphellus tataensis,Redonia michelae,1
Asaphellus tataensis,Carcassonnella sp.,1
Asaphellus tataensis,Wiwaxiid,1
Asaphellus tataensis,Calvapilosa kroegeri,1
Asaphellus tataensis,Palaeoscolex cf. tenensis,2
Asaphellus tataensis,Furca sp. 1,1
Asaphellus tataensis,Furca sp. 2,1
Asaphellus tataensis,Furca sp. 3,1
Asaphellus tataensis,Enosiaspis hrungnir,1
Asaphellus tataensis,Setapedites abundantis,1
Asaphellus tataensis,Tariccoia tazagurtensis,1
Asaphellus tataensis,Cheloniellid,1
Asaphellus tataensis,Apatokephalus cf. incisus,1
Asaphellus tataensis,Orometopus sp.,1
Asaphellus tataensis,Foulonia peregrina,1
Asaphellus tataensis,Toletanaspis aff. borni,1
Asaphellus tataensis,Bavarilla zemmourensis,1
Asaphellus tataensis,Colpocoryphe thorali,1
Asaphellus tataensis,Colpocoryphe pradesensis,1
Asaphellus tataensis,Pharostomina sp. ,1
Asaphellus tataensis,Agerina quadrata,1
Asaphellus tataensis,Geragnostus sp.,1
Asaphellus tataensis,Ampyx priscus,1
Asaphellus tataensis,Parabathycheilus gallicus,1
Asaphellus tataensis,Eoharpes sp.,1
Asaphellus tataensis,Nileus deynouxi,1
Asaphellus tataensis,Palaeosphaeronites sp.,1
Asaphellus tataensis,Palaeosphaeronites? prokopi,1
Asaphellus tataensis,Aristocystites cf. bohemicus (sinuous?),1
Asaphellus tataensis,Balantiocystis regnelli,1
Asaphellus tataensis,Rhopalocystis destombesi,1
Asaphellus tataensis,Rhopalocystis fraga,1
Asaphellus tataensis,Rhopalocystis grandis,1
Asaphellus tataensis,Rhopalocystis havliceki,1
Asaphellus tataensis,Rhopalocystis zagoraensis,1
Asaphellus tataensis,Lingulocystis elongata,1
Asaphellus tataensis,cf. Pareocrinus,1
Asaphellus tataensis,Eocrinoidea indet. sp. 1,1
Asaphellus tataensis,Eocrinoidea indet. sp. 2,1
Asaphellus tataensis,Eocrinoidea indet.,1
Asaphellus tataensis,Aethocrinus cf. moorei,1
Asaphellus tataensis,Rhenopyrgid indet.,1
Asaphellus tataensis,Amygdalotheca griffei,1
Asaphellus tataensis,Anatifopsis trapeziiformis,1
Asaphellus tataensis,Aspidocarpus sp.,1
Asaphellus tataensis,Chauvelicystis ubaghsi,1
Asaphellus tataensis,Chauvelicystis spinosa,1
Asaphellus tataensis,Chauvelicystis vizcainoi,1
Asaphellus tataensis,Sokkaejaecystis sp. 1,1
Asaphellus tataensis,Sokkaejaecystis sp. 2,1
Asaphellus tataensis,"Cornuta n. gen. 1, n. sp.",1
Asaphellus tataensis,"Cornuta n. gen. 2, n. sp.",1
Asaphellus tataensis,Flabellicarpus rushtoni,1
Asaphellus tataensis,Galliaecystis n. sp.,1
Asaphellus tataensis,Galliaecystis ubaghsi,1
Asaphellus tataensis,Hanusia n. sp.,1
Asaphellus tataensis,Lagynocystis pyramidalis,1
Asaphellus tataensis,Nanocarpus cf. dolambii,1
Asaphellus tataensis,Phyllocystis blayaci,1
Asaphellus tataensis,Procothurnocystis n. sp.,1
Asaphellus tataensis,Prokopicystis sp.,1
Asaphellus tataensis,Bohemiaecystis n. sp.,1
Asaphellus tataensis,Vizcainocarpus sp.,1
Asaphellus tataensis,Peltocystis cornuta,1
Asaphellus tataensis,Macrocystella bohemica,1
Asaphellus tataensis,Kiaerograptus'? sp. (slightly deflexed),1
Asaphellus tataensis,Webbyites felix,1
Asaphellus tataensis,Tarfaya sp.,1
Asaphellus tataensis,Wosekella filiola,1
Asaphellus tataensis,Sedlecilingula sp.,1
Asaphellus tataensis,Lingulella lata?,1
Asaphellus tataensis,Glossella sp.,1
Asaphellus tataensis,Rafanoglossa inversa,1
Asaphellus tataensis,Spondyglossella? sp.,1
Asaphellus tataensis,Obolidae indet.,1
Asaphellus tataensis,Orbithele tazagurta,1
Asaphellus tataensis,Lacunites punctum,1
Asaphellus tataensis,Nothorthis sp.,1
Asaphellus tataensis,Nanorthis sp.,1
Asaphellus tataensis,Euorthisina sp. 1,1
Asaphellus tataensis,Kvania sp.,1
Asaphellus tataensis,Tinzoulinorthis fasciata,1
Asaphellus tataensis,Tinzoulinorthis? sp.,1
Asaphellus tataensis,Incorthis sp.,1
Asaphellus tataensis,Nocturnellia sp.,1
Asaphellus tataensis,Ribeiria cf. personata,1
Asaphellus tataensis,Selkirkia tsering,2
Asaphellus tataensis,Indiligens sp.,1
Asaphellus tataensis,Symphysurina sp.,1
Asaphellus tataensis,Cephalodiscid hemichordate,1
Asaphellus sp.,Benthic detritus,1
Asaphellus sp.,Plectorthis simplex,1
Asaphellus sp.,Angusticardinia sp.,1
Asaphellus sp.,Wosekella maghribi  ,1
Asaphellus sp.,Celdobolus mirandus,1
Asaphellus sp.,Redonia michelae,1
Asaphellus sp.,Carcassonnella sp.,1
Asaphellus sp.,Wiwaxiid,1
Asaphellus sp.,Calvapilosa kroegeri,1
Asaphellus sp.,Palaeoscolex cf. tenensis,2
Asaphellus sp.,Furca sp. 1,1
Asaphellus sp.,Furca sp. 2,1
Asaphellus sp.,Furca sp. 3,1
Asaphellus sp.,Enosiaspis hrungnir,1
Asaphellus sp.,Setapedites abundantis,1
Asaphellus sp.,Tariccoia tazagurtensis,1
Asaphellus sp.,Cheloniellid,1
Asaphellus sp.,Asaphellus sp aff. jujuanus,1
Asaphellus sp.,Asaphellus sp.,1
Asaphellus sp.,Apatokephalus cf. incisus,1
Asaphellus sp.,Orometopus sp.,1
Asaphellus sp.,Foulonia peregrina,1
Asaphellus sp.,Toletanaspis aff. borni,1
Asaphellus sp.,Bavarilla zemmourensis,1
Asaphellus sp.,Colpocoryphe thorali,1
Asaphellus sp.,Colpocoryphe pradesensis,1
Asaphellus sp.,Pharostomina sp. ,1
Asaphellus sp.,Agerina quadrata,1
Asaphellus sp.,Geragnostus sp.,1
Asaphellus sp.,Ampyx priscus,1
Asaphellus sp.,Parabathycheilus gallicus,1
Asaphellus sp.,Eoharpes sp.,1
Asaphellus sp.,Nileus deynouxi,1
Asaphellus sp.,Palaeosphaeronites sp.,1
Asaphellus sp.,Palaeosphaeronites? prokopi,1
Asaphellus sp.,Aristocystites cf. bohemicus (sinuous?),1
Asaphellus sp.,Balantiocystis regnelli,1
Asaphellus sp.,Rhopalocystis destombesi,1
Asaphellus sp.,Rhopalocystis fraga,1
Asaphellus sp.,Rhopalocystis grandis,1
Asaphellus sp.,Rhopalocystis havliceki,1
Asaphellus sp.,Rhopalocystis zagoraensis,1
Asaphellus sp.,Lingulocystis elongata,1
Asaphellus sp.,cf. Pareocrinus,1
Asaphellus sp.,Eocrinoidea indet. sp. 1,1
Asaphellus sp.,Eocrinoidea indet. sp. 2,1
Asaphellus sp.,Eocrinoidea indet.,1
Asaphellus sp.,Aethocrinus cf. moorei,1
Asaphellus sp.,Rhenopyrgid indet.,1
Asaphellus sp.,Amygdalotheca griffei,1
Asaphellus sp.,Anatifopsis trapeziiformis,1
Asaphellus sp.,Aspidocarpus sp.,1
Asaphellus sp.,Chauvelicystis ubaghsi,1
Asaphellus sp.,Chauvelicystis spinosa,1
Asaphellus sp.,Chauvelicystis vizcainoi,1
Asaphellus sp.,Sokkaejaecystis sp. 1,1
Asaphellus sp.,Sokkaejaecystis sp. 2,1
Asaphellus sp.,"Cornuta n. gen. 1, n. sp.",1
Asaphellus sp.,"Cornuta n. gen. 2, n. sp.",1
Asaphellus sp.,Flabellicarpus rushtoni,1
Asaphellus sp.,Galliaecystis n. sp.,1
Asaphellus sp.,Galliaecystis ubaghsi,1
Asaphellus sp.,Hanusia n. sp.,1
Asaphellus sp.,Lagynocystis pyramidalis,1
Asaphellus sp.,Nanocarpus cf. dolambii,1
Asaphellus sp.,Phyllocystis blayaci,1
Asaphellus sp.,Procothurnocystis n. sp.,1
Asaphellus sp.,Prokopicystis sp.,1
Asaphellus sp.,Bohemiaecystis n. sp.,1
Asaphellus sp.,Vizcainocarpus sp.,1
Asaphellus sp.,Peltocystis cornuta,1
Asaphellus sp.,Macrocystella bohemica,1
Asaphellus sp.,Kiaerograptus'? sp. (slightly deflexed),1
Asaphellus sp.,Webbyites felix,1
Asaphellus sp.,Tarfaya sp.,1
Asaphellus sp.,Wosekella filiola,1
Asaphellus sp.,Sedlecilingula sp.,1
Asaphellus sp.,Lingulella lata?,1
Asaphellus sp.,Glossella sp.,1
Asaphellus sp.,Rafanoglossa inversa,1
Asaphellus sp.,Spondyglossella? sp.,1
Asaphellus sp.,Obolidae indet.,1
Asaphellus sp.,Orbithele tazagurta,1
Asaphellus sp.,Lacunites punctum,1
Asaphellus sp.,Nothorthis sp.,1
Asaphellus sp.,Nanorthis sp.,1
Asaphellus sp.,Euorthisina sp. 1,1
Asaphellus sp.,Kvania sp.,1
Asaphellus sp.,Tinzoulinorthis fasciata,1
Asaphellus sp.,Tinzoulinorthis? sp.,1
Asaphellus sp.,Incorthis sp.,1
Asaphellus sp.,Nocturnellia sp.,1
Asaphellus sp.,Ribeiria cf. personata,1
Asaphellus sp.,Selkirkia tsering,2
Asaphellus sp.,Indiligens sp.,1
Asaphellus sp.,Symphysurina sp.,1
Asaphellus sp.,Cephalodiscid hemichordate,1
Basilicus (Basiliella?) destombesi,Benthic detritus,1
Basilicus (Basiliella?) destombesi,Plectorthis simplex,1
Basilicus (Basiliella?) destombesi,Angusticardinia sp.,1
Basilicus (Basiliella?) destombesi,Wosekella maghribi  ,1
Basilicus (Basiliella?) destombesi,Celdobolus mirandus,1
Basilicus (Basiliella?) destombesi,Babinka prima,1
Basilicus (Basiliella?) destombesi,Redonia michelae,1
Basilicus (Basiliella?) destombesi,Pelecyogyra fezouataensis,1
Basilicus (Basiliella?) destombesi,Wiwaxiid,1
Basilicus (Basiliella?) destombesi,Calvapilosa kroegeri,1
Basilicus (Basiliella?) destombesi,Plumulites bengtsoni,2
Basilicus (Basiliella?) destombesi,Large plumulitid,2
Basilicus (Basiliella?) destombesi,Palaeoscolex cf. tenensis,2
Basilicus (Basiliella?) destombesi,Furca sp. 1,1
Basilicus (Basiliella?) destombesi,Furca sp. 2,1
Basilicus (Basiliella?) destombesi,Furca sp. 3,1
Basilicus (Basiliella?) destombesi,Enosiaspis hrungnir,1
Basilicus (Basiliella?) destombesi,Xiphosurid,1
Basilicus (Basiliella?) destombesi,Tremaglaspis sp.,1
Basilicus (Basiliella?) destombesi,Cheloniellid,1
Basilicus (Basiliella?) destombesi,Asaphellus fezouataensis ,1
Basilicus (Basiliella?) destombesi,Asaphellus sp aff. jujuanus,1
Basilicus (Basiliella?) destombesi,Asaphellus tataensis,1
Basilicus (Basiliella?) destombesi,Asaphellus sp.,1
Basilicus (Basiliella?) destombesi,Playpeltoides' carmenae,1
Basilicus (Basiliella?) destombesi,Symphysurus sicardi,1
Basilicus (Basiliella?) destombesi,Symphysurus ebbestadi,1
Basilicus (Basiliella?) destombesi,Symphysurus sp.,1
Basilicus (Basiliella?) destombesi,Apatokephalus cf. incisus,1
Basilicus (Basiliella?) destombesi,Orometopus sp.,1
Basilicus (Basiliella?) destombesi,Foulonia peregrina,1
Basilicus (Basiliella?) destombesi,Toletanaspis aff. borni,1
Basilicus (Basiliella?) destombesi,Bavarilla zemmourensis,1
Basilicus (Basiliella?) destombesi,Colpocoryphe thorali,1
Basilicus (Basiliella?) destombesi,Colpocoryphe pradesensis,1
Basilicus (Basiliella?) destombesi,Colpocoryphe sp.,1
Basilicus (Basiliella?) destombesi,Pharostomina sp. ,1
Basilicus (Basiliella?) destombesi,Prionocheilus sp.,1
Basilicus (Basiliella?) destombesi,Agerina quadrata,1
Basilicus (Basiliella?) destombesi,Euloma sp.,1
Basilicus (Basiliella?) destombesi,Ampyx priscus,1
Basilicus (Basiliella?) destombesi,Megistaspis (Ekeraspis) sp. indet.,1
Basilicus (Basiliella?) destombesi,Parabathycheilus gallicus,1
Basilicus (Basiliella?) destombesi,Anacheirurus adserai,1
Basilicus (Basiliella?) destombesi,Eoharpes sp.,1
Basilicus (Basiliella?) destombesi,Nileus deynouxi,1
Basilicus (Basiliella?) destombesi,Villebrunaster fezouataensis,1
Basilicus (Basiliella?) destombesi,Palaeosphaeronites sp.,1
Basilicus (Basiliella?) destombesi,Palaeosphaeronites? prokopi,1
Basilicus (Basiliella?) destombesi,Aristocystites cf. bohemicus (sinuous?),1
Basilicus (Basiliella?) destombesi,Balantiocystis regnelli,1
