Cons._sp.,Resource_sp.,Certainty level
undet. Platyceratoidea,Glyptarca sp.,1
undet. Monoplacophora,phytoplankton,2
undet. Monoplacophora,Benthic detritus,2
Thoralispira laevis,Benthic detritus,2
Thoralispira? cf. occitana,Benthic detritus,2
Carcassonnella courtessolei,Benthic detritus,2
Carcassonnella vizcainoi,Benthic detritus,2
Carcassonnella sp.,Benthic detritus,2
Ribeiria sp.,phytoplankton,2
Ribeiria sp.,suspended organic matter,2
Tolmachovia?,phytoplankton,2
Tolmachovia?,suspended organic matter,2
Wiwaxiid,bacterioplankton,1
Wiwaxiid,Benthic detritus,1
Wiwaxiid,Chaetocladid,1
Wiwaxiid,Alga type 1,1
Wiwaxiid,Alga type 2,1
Halkieriid,Benthic detritus,1
Halkieriid,Bryozoan,1
Halkieriid,Calvapilosa kroegeri,1
Halkieriid,Plumulites bengtsoni,1
Halkieriid,Large plumulitid,1
Halkieriid,Possible phyllodocid,1
Halkieriid,Palaeoscolex cf. tenensis,1
Halkieriid,Priapulid,1
Halkieriid,Enosiaspis hrungnir,1
Halkieriid, 'Synziphosurine'/Synziphosurina?,1
Halkieriid,Chasmataspidid,1
Halkieriid,Tariccoia tazagurtensis,1
Halkieriid,Phyllocarid,1
Halkieriid,Ostracod,1
Halkieriid,Lepadomorph barnacle,1
Halkieriid,undet. Dikelocephalidae,1
Halkieriid,undet. Illaenacea,1
Halkieriid,Orometopus sp.,1
Halkieriid,Toletanaspis aff. borni,1
Halkieriid,Bathycheilus gallicus,1
Halkieriid,Agerina quadrata,1
Halkieriid,Geragnostus aff. occitanus,1
Halkieriid,Geragnostus sp.,1
Halkieriid,Proetidae?,1
Halkieriid,undet. Trinucleidae,1
Halkieriid,Nileus deynouxi,1
Halkieriid,Hospes sp.,1
Halkieriid,Ogygiocaris sp.,1
Halkieriid,cf. Niobella sp.,1
Halkieriid,Hyolithes sp.,1
Helcionelloid,bacterioplankton,2
Helcionelloid,Benthic detritus,2
Helcionelloid,Alga type 1,2
Helcionelloid,Alga type 2,2
Calvapilosa kroegeri,bacterioplankton,1
Calvapilosa kroegeri,Alga type 1,2
Calvapilosa kroegeri,Alga type 2,2
Bactroceras sp.,Ranorthis fasciata,2
Bactroceras sp.,undet. Athyridida,2
Bactroceras sp.,Acrothele sp.,2
Bactroceras sp.,Plectorthis simplex,2
Bactroceras sp.,Angusticardinia sp.,2
Bactroceras sp.,Lingula salteri,2
Bactroceras sp.,Orbithele vana,2
Bactroceras sp.,Paurorthis tadristensis,2
Bactroceras sp.,Tarfaya marocana,2
Bactroceras sp.,Wosekella sp.,2
Bactroceras sp.,Monobolina sp.,2
Bactroceras sp.,Elliptoglossa sp.,2
Bactroceras sp.,Celdobolus sp.,2
Bactroceras sp.,Discinoidea?,2
Bactroceras sp.,undet. Dalmanelloidea,2
Bactroceras sp.,Babinka prima,1
Bactroceras sp.,Ctenodonta escosurae,2
Bactroceras sp.,Praenucula sp.,2
Bactroceras sp.,Redonia michelae,2
Bactroceras sp.,Coxiconchia guiraudi,2
Bactroceras sp.,Alococoncha?,1
Bactroceras sp.,Cardiolaria? sp.,2
Bactroceras sp.,Cienagomya? sp.,2
Bactroceras sp.,Ekaterodonta courtessolei,2
Bactroceras sp.,Glyptarca sp.,2
Bactroceras sp.,Pelecyogyra fezouataensis,2
Bactroceras sp.,Sinuites sp.,2
Bactroceras sp.,Lesueurilla prima,2
Bactroceras sp.,undet. Platyceratoidea,2
Bactroceras sp.,Thoralispira laevis,1
Bactroceras sp.,Thoralispira? cf. occitana,1
Bactroceras sp.,Carcassonnella courtessolei,1
Bactroceras sp.,Carcassonnella vizcainoi,1
Bactroceras sp.,Carcassonnella sp.,1
Bactroceras sp.,Bathmoceras taichoutense,1
Bactroceras sp.,Destombesiceras zagorense,1
Bactroceras sp.,Enosiaspis hrungnir,1
Bactroceras sp., 'Synziphosurine'/Synziphosurina?,1
Bactroceras sp.,Chasmataspidid,1
Bactroceras sp.,Possible pycnogonid,1
Bactroceras sp.,Tariccoia tazagurtensis,1
Bactroceras sp.,Cheloniellid,1
Bactroceras sp.,Phyllocarid,1
Bactroceras sp.,Ostracod,1
Bactroceras sp.,Lepadomorph barnacle,1
Bactroceras sp.,undet. Dikelocephalidae,1
Bactroceras sp.,undet. Illaenacea,1
Bactroceras sp.,Orometopus sp.,1
Bactroceras sp.,Cnemidopyge sp.,1
Bactroceras sp.,Toletanaspis aff. borni,1
Bactroceras sp.,undet. Dalmanitacea,1
Bactroceras sp.,Bathycheilus gallicus,1
Bactroceras sp.,Agerina quadrata,1
Bactroceras sp.,Geragnostus aff. occitanus,1
Bactroceras sp.,Geragnostus sp.,1
Bactroceras sp.,Beltella sp.,1
Bactroceras sp.,Ampyx priscus,1
Bactroceras sp.,Ampyx cf. priscus,1
Bactroceras sp.,Proetidae?,1
Bactroceras sp.,undet. Trinucleidae,1
Bactroceras sp.,Nileus deynouxi,1
Bactroceras sp.,Hospes sp.,1
Bactroceras sp.,Ogygiocaris sp.,1
Bactroceras sp.,cf. Niobella sp.,1
Bactroceras sp.,Somasteroid indet. n. sp. 1,1
Bactroceras sp.,Somasteroid indet. n. sp. 2,1
Bactroceras sp.,Somasteroid indet. n. sp. 3,1
Bactroceras sp.,Somasteroid indet.,1
Bactroceras sp.,undet. Asteroidea,1
Bactroceras sp.,Palaeosphaeronites sp.,1
Bactroceras sp.,Palaeosphaeronites? prokopi,1
Bactroceras sp.,Aristocystites cf. bohemicus (sinuous?),1
Bactroceras sp.,Aristocystites sp.,1
Bactroceras sp.,Ascocystites? sp.,1
Bactroceras sp.,Balantiocystis regnelli,1
Bactroceras sp.,Balantiocystis sp.,1
Bactroceras sp.,Rhopalocystis sp.,1
Bactroceras sp.,Rhopalocystis dehirensis,1
Bactroceras sp.,Rhopalocystis destombesi,1
Bactroceras sp.,Rhopalocystis fraga,1
Bactroceras sp.,Rhopalocystis grandis,1
Bactroceras sp.,Rhopalocystis havliceki,1
Bactroceras sp.,Rhopalocystis lehmani,1
Bactroceras sp.,Rhopalocystis zagoraensis,1
Bactroceras sp.,Rhopalocystis sp. A,1
Bactroceras sp.,Rhopalocystis sp. B,1
Bactroceras sp.,Rhopalocystis sp. C,1
Bactroceras sp.,cf. Rhopalocystis,1
Bactroceras sp.,Lingulocystis aff. deani,1
Bactroceras sp.,Lingulocystis elongata,1
Bactroceras sp.,cf. Pareocrinus,1
Bactroceras sp.,Eocrinoidea indet. sp. 1,1
