CONSUMER;RESOURCE
Gnamptorhynchos sp.;SOM
Orthorhynchyllion prinstanum;SOM
Hypsiptycha anticostiensis;SOM
Rhynchotrema sp.;SOM
Rostricellula transversa;SOM
Dimerocrinites elegans;phytoplankton
Ursucrinus stellatus;phytoplankton
Astakocrinus teren;phytoplankton
Xenocrinus rubus;phytoplankton
Calceocrinus gamachicus;phytoplankton
Charactocrinus billingsi;phytoplankton
Euspirocrinus gagnoni;phytoplankton
Dendrocrinus sp.;phytoplankton
Anisocrinus prinstaensis;phytoplankton
Protaxocrinus sp.;phytoplankton
Dimerocrinites elegans;SOM
Ursucrinus stellatus;SOM
Astakocrinus teren;SOM
Xenocrinus rubus;SOM
Calceocrinus gamachicus;SOM
Charactocrinus billingsi;SOM
Euspirocrinus gagnoni;SOM
Dendrocrinus sp.;SOM
Anisocrinus prinstaensis;SOM
Protaxocrinus sp.;SOM
Bucania ellisensis;detritus
Phragmolites sp.;detritus
Salpingostoma sp.;detritus
Tetranota obsoleta;detritus
Sinuites bilobatus;detritus
Alaskadiscus giganteus;detritus
Holopea sp.;phytoplankton
Holopea sp.;SOM
Lytospira nitida;detritus
Cyclonema sp.;detritus
Hormotoma sp.;detritus
Loxonema rugosum;detritus
Cyrtospira notata;Aechmina sp.
Cyrtospira notata;Baltonotella sp.
Cyrtospira notata;Dicranella sp.
Cyrtospira notata;Jonesites sp.
Cyrtospira notata;Cryptophyllus sp.
Cyrtospira notata;Eurychilina sp.
Cyrtospira notata;Anticostiella sp.
Cyrtospira notata;Schmidtella sp.
Cyrtospira notata;Faurella sp.
Cyrtospira notata;Spinigerites sp.
Cyrtospira notata;Foramenella sp.
Cyrtospira notata;Tetradella sp.
Cyrtospira notata;Tvaerenella sp.
Cyrtospira notata;Eographiodactylus sp.
Cyrtospira notata;Steusloffina cuneata
Cyrtospira notata;Elliptocyprites sp.
Cyrtospira notata;Krausella sp.
Cyrtospira notata;Longiscula sp.
Cyrtospira notata;Aviacypris sp.
Cyrtospira notata;Macrocyproides sp.
Cyrtospira notata;Microcheilinella sp.
Cyrtospira notata;Rectella sp.
Cyrtospira notata;Medianella sp.
Cyrtospira notata;Leperditella sp.
Cyrtospira notata;Eokloedenella sp.
Subulites sp.;Aechmina sp.
Subulites sp.;Baltonotella sp.
Subulites sp.;Dicranella sp.
Subulites sp.;Jonesites sp.
Subulites sp.;Cryptophyllus sp.
Subulites sp.;Eurychilina sp.
Subulites sp.;Anticostiella sp.
Subulites sp.;Schmidtella sp.
Subulites sp.;Faurella sp.
Subulites sp.;Spinigerites sp.
Subulites sp.;Foramenella sp.
Subulites sp.;Tetradella sp.
Subulites sp.;Tvaerenella sp.
Subulites sp.;Eographiodactylus sp.
Subulites sp.;Steusloffina cuneata
Subulites sp.;Elliptocyprites sp.
Subulites sp.;Krausella sp.
Subulites sp.;Longiscula sp.
Subulites sp.;Aviacypris sp.
Subulites sp.;Macrocyproides sp.
Subulites sp.;Microcheilinella sp.
Subulites sp.;Rectella sp.
Subulites sp.;Medianella sp.
Subulites sp.;Leperditella sp.
Subulites sp.;Eokloedenella sp.
Brachytomaria papillosa;Aechmina sp.
Brachytomaria papillosa;Baltonotella sp.
Brachytomaria papillosa;Dicranella sp.
