CONSUMER;RESOURCE
Coolinia sp.;SOM
Brachyprion sp.;SOM
Hyattidina junia;SOM
Eomegastrophia philomena;SOM
Clorinda tumidula;SOM
Gotatrypa sp.;SOM
Strophoprion geniculatum;SOM
Leptaena sp.;SOM
Katastrophomena radiireticulata;SOM
Visbyella concavoconvexa;SOM
Heterorthina cybele;SOM
Glyptorthis marilara;SOM
Jupiterella eumorpha;SOM
Dalejina junonis;SOM
Dicoelosia dauphinensis;SOM
Ehlersella davidsonii;SOM
Microcardinalia divaricata;SOM
Zygatrypa mica;SOM
Lissatrypa atheroidea;SOM
Levenea sp.;SOM
Parastrophinella sp.;SOM
Pentamerus sp.;SOM
Costistricklandia sp.;SOM
Stricklandia sp.;SOM
Linguopugnoides cybelense;SOM
Phoenicitoechia martinensis;SOM
Eocoelia sp.;SOM
Platytrochalos sp.;SOM
Stegerhynchus sp.;SOM
Ancillotoechia eva;SOM
Hercotrema bulbicostatum;SOM
Leptolepyron argenteum;SOM
Perforocycloides nathalieae;phytoplankton
Rhenopyrgus viviani;phytoplankton
Cybelecrinus sp.;phytoplankton
Bucucrinus sp.;phytoplankton
Fibrocrinus phragmos;phytoplankton
Lateranicrinus saintlaurenti;phytoplankton
Jovacrinus sp.;phytoplankton
Chenocrinus canadaensis;phytoplankton
Thalamocrinus daoustae;phytoplankton
Fragucrinus bothros;phytoplankton
Aetocrinus gracilis;phytoplankton
Plicodendrocrinus sp.;phytoplankton
Kastorcrinus chattertoni;phytoplankton
Eomyelodactylus sp.;phytoplankton
Hormocrinus quebecensis;phytoplankton
Ladacrinus asynaptos;phytoplankton
Protaxocrinus sp.;phytoplankton
Eucalyptocrinites sp.;phytoplankton
Perforocycloides nathalieae;SOM
Rhenopyrgus viviani;SOM
Cybelecrinus sp.;SOM
Bucucrinus sp.;SOM
Fibrocrinus phragmos;SOM
Lateranicrinus saintlaurenti;SOM
Jovacrinus sp.;SOM
Chenocrinus canadaensis;SOM
Thalamocrinus daoustae;SOM
Fragucrinus bothros;SOM
Aetocrinus gracilis;SOM
Plicodendrocrinus sp.;SOM
Kastorcrinus chattertoni;SOM
Eomyelodactylus sp.;SOM
Hormocrinus quebecensis;SOM
