CONSUMER;RESOURCE
Maurotarion richardsoni;Bairdiocypris sp.
Maurotarion richardsoni;Punctobeecherella punctata
Maurotarion richardsoni;Punctomosea sp.
Maurotarion richardsoni;Menoeidina lavoiei
Maurotarion richardsoni;Microcheilinella sp.
Maurotarion richardsoni;Pachydomella sp.
Maurotarion richardsoni;Conbathella inornata
Maurotarion richardsoni;Paraschmidtella irregularis
Elrodooceras blakei;Aechmina sp.
Elrodooceras blakei;Paraechmina sp.
Elrodooceras blakei;Libumella sp.
Elrodooceras blakei;Ulrichia sp.
Elrodooceras blakei;Cryptophyllus sp.
Elrodooceras blakei;Anticostiella sp.
Elrodooceras blakei;Gibberella brickensis
Elrodooceras blakei;Herrmannina sp.
Elrodooceras blakei;Zygobolba sp.
Elrodooceras blakei;Jupiterella jupiterensis
Elrodooceras blakei;Apatobolbina sp.
Elrodooceras blakei;Cyrtocyprus inornata
Elrodooceras blakei;Thrallella sp.
Elrodooceras blakei;Bairdiocypris sp.
Elrodooceras blakei;Punctobeecherella punctata
Elrodooceras blakei;Punctomosea sp.
Elrodooceras blakei;Menoeidina lavoiei
Elrodooceras blakei;Microcheilinella sp.
Elrodooceras blakei;Pachydomella sp.
Elrodooceras blakei;Conbathella inornata
Elrodooceras blakei;Paraschmidtella irregularis
Armenoceras sp.;Aechmina sp.
Armenoceras sp.;Paraechmina sp.
Armenoceras sp.;Libumella sp.
Armenoceras sp.;Ulrichia sp.
Armenoceras sp.;Cryptophyllus sp.
Armenoceras sp.;Anticostiella sp.
Armenoceras sp.;Gibberella brickensis
Armenoceras sp.;Herrmannina sp.
Armenoceras sp.;Zygobolba sp.
Armenoceras sp.;Jupiterella jupiterensis
Armenoceras sp.;Apatobolbina sp.
Armenoceras sp.;Cyrtocyprus inornata
Armenoceras sp.;Thrallella sp.
Armenoceras sp.;Bairdiocypris sp.
Armenoceras sp.;Punctobeecherella punctata
Armenoceras sp.;Punctomosea sp.
Armenoceras sp.;Menoeidina lavoiei
Armenoceras sp.;Microcheilinella sp.
Armenoceras sp.;Pachydomella sp.
Armenoceras sp.;Conbathella inornata
Armenoceras sp.;Paraschmidtella irregularis
Huroniella timiskamingensis;Aechmina sp.
Huroniella timiskamingensis;Paraechmina sp.
Huroniella timiskamingensis;Libumella sp.
Huroniella timiskamingensis;Ulrichia sp.
Huroniella timiskamingensis;Cryptophyllus sp.
Huroniella timiskamingensis;Anticostiella sp.
Huroniella timiskamingensis;Gibberella brickensis
Huroniella timiskamingensis;Herrmannina sp.
Huroniella timiskamingensis;Zygobolba sp.
Huroniella timiskamingensis;Jupiterella jupiterensis
Huroniella timiskamingensis;Apatobolbina sp.
Huroniella timiskamingensis;Cyrtocyprus inornata
Huroniella timiskamingensis;Thrallella sp.
Huroniella timiskamingensis;Bairdiocypris sp.
Huroniella timiskamingensis;Punctobeecherella punctata
Huroniella timiskamingensis;Punctomosea sp.
Huroniella timiskamingensis;Menoeidina lavoiei
Huroniella timiskamingensis;Microcheilinella sp.
Huroniella timiskamingensis;Pachydomella sp.
Huroniella timiskamingensis;Conbathella inornata
Huroniella timiskamingensis;Paraschmidtella irregularis
Discosorus sp.;Aechmina sp.
Discosorus sp.;Paraechmina sp.
Discosorus sp.;Libumella sp.
Discosorus sp.;Ulrichia sp.
Discosorus sp.;Cryptophyllus sp.
Discosorus sp.;Anticostiella sp.
Discosorus sp.;Gibberella brickensis
Discosorus sp.;Herrmannina sp.
Discosorus sp.;Zygobolba sp.
Discosorus sp.;Jupiterella jupiterensis
Discosorus sp.;Apatobolbina sp.
Discosorus sp.;Cyrtocyprus inornata
Discosorus sp.;Thrallella sp.
Discosorus sp.;Bairdiocypris sp.
Discosorus sp.;Punctobeecherella punctata
Discosorus sp.;Punctomosea sp.
Discosorus sp.;Menoeidina lavoiei
Discosorus sp.;Microcheilinella sp.
Discosorus sp.;Pachydomella sp.
Discosorus sp.;Conbathella inornata
Discosorus sp.;Paraschmidtella irregularis
Mandaloceras sp.;Aechmina sp.
Mandaloceras sp.;Paraechmina sp.
Mandaloceras sp.;Libumella sp.
Mandaloceras sp.;Ulrichia sp.
Mandaloceras sp.;Cryptophyllus sp.
Mandaloceras sp.;Anticostiella sp.
Mandaloceras sp.;Gibberella brickensis
Mandaloceras sp.;Herrmannina sp.
Mandaloceras sp.;Zygobolba sp.
Mandaloceras sp.;Jupiterella jupiterensis
Mandaloceras sp.;Apatobolbina sp.
Mandaloceras sp.;Cyrtocyprus inornata
Mandaloceras sp.;Thrallella sp.
Mandaloceras sp.;Bairdiocypris sp.
Mandaloceras sp.;Punctobeecherella punctata
Mandaloceras sp.;Punctomosea sp.
Mandaloceras sp.;Menoeidina lavoiei
Mandaloceras sp.;Microcheilinella sp.
Mandaloceras sp.;Pachydomella sp.
Mandaloceras sp.;Conbathella inornata
Mandaloceras sp.;Paraschmidtella irregularis
Umbeloceras sp.;Aechmina sp.
Umbeloceras sp.;Paraechmina sp.
Umbeloceras sp.;Libumella sp.
Umbeloceras sp.;Ulrichia sp.
Umbeloceras sp.;Cryptophyllus sp.
Umbeloceras sp.;Anticostiella sp.
Umbeloceras sp.;Gibberella brickensis
Umbeloceras sp.;Herrmannina sp.
Umbeloceras sp.;Zygobolba sp.
Umbeloceras sp.;Jupiterella jupiterensis
Umbeloceras sp.;Apatobolbina sp.
Umbeloceras sp.;Cyrtocyprus inornata
Umbeloceras sp.;Thrallella sp.
Umbeloceras sp.;Bairdiocypris sp.
Umbeloceras sp.;Punctobeecherella punctata
Umbeloceras sp.;Punctomosea sp.
Umbeloceras sp.;Menoeidina lavoiei
Umbeloceras sp.;Microcheilinella sp.
Umbeloceras sp.;Pachydomella sp.
Umbeloceras sp.;Conbathella inornata
Umbeloceras sp.;Paraschmidtella irregularis
Phragmoceras sp.;Aechmina sp.
Phragmoceras sp.;Paraechmina sp.
Phragmoceras sp.;Libumella sp.
Phragmoceras sp.;Ulrichia sp.
Phragmoceras sp.;Cryptophyllus sp.
Phragmoceras sp.;Anticostiella sp.
Phragmoceras sp.;Gibberella brickensis
Phragmoceras sp.;Herrmannina sp.
Phragmoceras sp.;Zygobolba sp.
Phragmoceras sp.;Jupiterella jupiterensis
Phragmoceras sp.;Apatobolbina sp.
Phragmoceras sp.;Cyrtocyprus inornata
Phragmoceras sp.;Thrallella sp.
Phragmoceras sp.;Bairdiocypris sp.
Phragmoceras sp.;Punctobeecherella punctata
Phragmoceras sp.;Punctomosea sp.
Phragmoceras sp.;Menoeidina lavoiei
Phragmoceras sp.;Microcheilinella sp.
Phragmoceras sp.;Pachydomella sp.
Phragmoceras sp.;Conbathella inornata
Phragmoceras sp.;Paraschmidtella irregularis
Dawsonoceras hyatti;Aechmina sp.
Dawsonoceras hyatti;Paraechmina sp.
Dawsonoceras hyatti;Libumella sp.
Dawsonoceras hyatti;Ulrichia sp.
Dawsonoceras hyatti;Cryptophyllus sp.
Dawsonoceras hyatti;Anticostiella sp.
Dawsonoceras hyatti;Gibberella brickensis
Dawsonoceras hyatti;Herrmannina sp.
Dawsonoceras hyatti;Zygobolba sp.
Dawsonoceras hyatti;Jupiterella jupiterensis
Dawsonoceras hyatti;Apatobolbina sp.
Dawsonoceras hyatti;Cyrtocyprus inornata
Dawsonoceras hyatti;Thrallella sp.
Dawsonoceras hyatti;Bairdiocypris sp.
Dawsonoceras hyatti;Punctobeecherella punctata
Dawsonoceras hyatti;Punctomosea sp.
Dawsonoceras hyatti;Menoeidina lavoiei
Dawsonoceras hyatti;Microcheilinella sp.
Dawsonoceras hyatti;Pachydomella sp.
Dawsonoceras hyatti;Conbathella inornata
Dawsonoceras hyatti;Paraschmidtella irregularis
Kionoceras virgatum;Aechmina sp.
Kionoceras virgatum;Paraechmina sp.
Kionoceras virgatum;Libumella sp.
Kionoceras virgatum;Ulrichia sp.
Kionoceras virgatum;Cryptophyllus sp.
Kionoceras virgatum;Anticostiella sp.
Kionoceras virgatum;Gibberella brickensis
Kionoceras virgatum;Herrmannina sp.
Kionoceras virgatum;Zygobolba sp.
Kionoceras virgatum;Jupiterella jupiterensis
Kionoceras virgatum;Apatobolbina sp.
Kionoceras virgatum;Cyrtocyprus inornata
Kionoceras virgatum;Thrallella sp.
Kionoceras virgatum;Bairdiocypris sp.
Kionoceras virgatum;Punctobeecherella punctata
Kionoceras virgatum;Punctomosea sp.
Kionoceras virgatum;Menoeidina lavoiei
Kionoceras virgatum;Microcheilinella sp.
Kionoceras virgatum;Pachydomella sp.
Kionoceras virgatum;Conbathella inornata
Kionoceras virgatum;Paraschmidtella irregularis
Polygrammoceras sp.;Aechmina sp.
Polygrammoceras sp.;Paraechmina sp.
Polygrammoceras sp.;Libumella sp.
Polygrammoceras sp.;Ulrichia sp.
Polygrammoceras sp.;Cryptophyllus sp.
Polygrammoceras sp.;Anticostiella sp.
Polygrammoceras sp.;Gibberella brickensis
Polygrammoceras sp.;Herrmannina sp.
Polygrammoceras sp.;Zygobolba sp.
Polygrammoceras sp.;Jupiterella jupiterensis
Polygrammoceras sp.;Apatobolbina sp.
Polygrammoceras sp.;Cyrtocyprus inornata
Polygrammoceras sp.;Thrallella sp.
Polygrammoceras sp.;Bairdiocypris sp.
Polygrammoceras sp.;Punctobeecherella punctata
Polygrammoceras sp.;Punctomosea sp.
Polygrammoceras sp.;Menoeidina lavoiei
Polygrammoceras sp.;Microcheilinella sp.
Polygrammoceras sp.;Pachydomella sp.
Polygrammoceras sp.;Conbathella inornata
Polygrammoceras sp.;Paraschmidtella irregularis
Donacoceras bellense;Aechmina sp.
Donacoceras bellense;Paraechmina sp.
Donacoceras bellense;Libumella sp.
Donacoceras bellense;Ulrichia sp.
Donacoceras bellense;Cryptophyllus sp.
Donacoceras bellense;Anticostiella sp.
Donacoceras bellense;Gibberella brickensis
Donacoceras bellense;Herrmannina sp.
Donacoceras bellense;Zygobolba sp.
Donacoceras bellense;Jupiterella jupiterensis
Donacoceras bellense;Apatobolbina sp.
Donacoceras bellense;Cyrtocyprus inornata
Donacoceras bellense;Thrallella sp.
Donacoceras bellense;Bairdiocypris sp.
Donacoceras bellense;Punctobeecherella punctata
Donacoceras bellense;Punctomosea sp.
Donacoceras bellense;Menoeidina lavoiei
Donacoceras bellense;Microcheilinella sp.
Donacoceras bellense;Pachydomella sp.
Donacoceras bellense;Conbathella inornata
Donacoceras bellense;Paraschmidtella irregularis
Orthocycloceras sp.;Aechmina sp.
Orthocycloceras sp.;Paraechmina sp.
Orthocycloceras sp.;Libumella sp.
Orthocycloceras sp.;Ulrichia sp.
Orthocycloceras sp.;Cryptophyllus sp.
Orthocycloceras sp.;Anticostiella sp.
Orthocycloceras sp.;Gibberella brickensis
Orthocycloceras sp.;Herrmannina sp.
Orthocycloceras sp.;Zygobolba sp.
Orthocycloceras sp.;Jupiterella jupiterensis
Orthocycloceras sp.;Apatobolbina sp.
Orthocycloceras sp.;Cyrtocyprus inornata
Orthocycloceras sp.;Thrallella sp.
Orthocycloceras sp.;Bairdiocypris sp.
Orthocycloceras sp.;Punctobeecherella punctata
Orthocycloceras sp.;Punctomosea sp.
Orthocycloceras sp.;Menoeidina lavoiei
Orthocycloceras sp.;Microcheilinella sp.
Orthocycloceras sp.;Pachydomella sp.
Orthocycloceras sp.;Conbathella inornata
Orthocycloceras sp.;Paraschmidtella irregularis
Amphicyrtoceras sp.;Aechmina sp.
Amphicyrtoceras sp.;Paraechmina sp.
Amphicyrtoceras sp.;Libumella sp.
Amphicyrtoceras sp.;Ulrichia sp.
Amphicyrtoceras sp.;Cryptophyllus sp.
Amphicyrtoceras sp.;Anticostiella sp.
Amphicyrtoceras sp.;Gibberella brickensis
Amphicyrtoceras sp.;Herrmannina sp.
Amphicyrtoceras sp.;Zygobolba sp.
Amphicyrtoceras sp.;Jupiterella jupiterensis
Amphicyrtoceras sp.;Apatobolbina sp.
Amphicyrtoceras sp.;Cyrtocyprus inornata
Amphicyrtoceras sp.;Thrallella sp.
Amphicyrtoceras sp.;Bairdiocypris sp.
Amphicyrtoceras sp.;Punctobeecherella punctata
Amphicyrtoceras sp.;Punctomosea sp.
Amphicyrtoceras sp.;Menoeidina lavoiei
Amphicyrtoceras sp.;Microcheilinella sp.
Amphicyrtoceras sp.;Pachydomella sp.
Amphicyrtoceras sp.;Conbathella inornata
Amphicyrtoceras sp.;Paraschmidtella irregularis
Eotrimeroceras jupiterense;Aechmina sp.
Eotrimeroceras jupiterense;Paraechmina sp.
Eotrimeroceras jupiterense;Libumella sp.
Eotrimeroceras jupiterense;Ulrichia sp.
Eotrimeroceras jupiterense;Cryptophyllus sp.
Eotrimeroceras jupiterense;Anticostiella sp.
Eotrimeroceras jupiterense;Gibberella brickensis
Eotrimeroceras jupiterense;Herrmannina sp.
Eotrimeroceras jupiterense;Zygobolba sp.
Eotrimeroceras jupiterense;Jupiterella jupiterensis
Eotrimeroceras jupiterense;Apatobolbina sp.
Eotrimeroceras jupiterense;Cyrtocyprus inornata
Eotrimeroceras jupiterense;Thrallella sp.
Eotrimeroceras jupiterense;Bairdiocypris sp.
Eotrimeroceras jupiterense;Punctobeecherella punctata
Eotrimeroceras jupiterense;Punctomosea sp.
Eotrimeroceras jupiterense;Menoeidina lavoiei
Eotrimeroceras jupiterense;Microcheilinella sp.
Eotrimeroceras jupiterense;Pachydomella sp.
Eotrimeroceras jupiterense;Conbathella inornata
Eotrimeroceras jupiterense;Paraschmidtella irregularis
Eridites barnesi;Aechmina sp.
Eridites barnesi;Paraechmina sp.
Eridites barnesi;Libumella sp.
Eridites barnesi;Ulrichia sp.
Eridites barnesi;Cryptophyllus sp.
Eridites barnesi;Anticostiella sp.
Eridites barnesi;Gibberella brickensis
Eridites barnesi;Herrmannina sp.
Eridites barnesi;Zygobolba sp.
Eridites barnesi;Jupiterella jupiterensis
Eridites barnesi;Apatobolbina sp.
Eridites barnesi;Cyrtocyprus inornata
Eridites barnesi;Thrallella sp.
Eridites barnesi;Bairdiocypris sp.
Eridites barnesi;Punctobeecherella punctata
Eridites barnesi;Punctomosea sp.
Eridites barnesi;Menoeidina lavoiei
Eridites barnesi;Microcheilinella sp.
Eridites barnesi;Pachydomella sp.
Eridites barnesi;Conbathella inornata
Eridites barnesi;Paraschmidtella irregularis
Elrodooceras blakei;Failleana wangi
Elrodooceras blakei;Arctinurus sp.
Elrodooceras blakei;Dalaspis sp.
Elrodooceras blakei;Exallaspis sp.
Elrodooceras blakei;Kettneraspis sp.
Elrodooceras blakei;Stelckaspis sp.
Elrodooceras blakei;Acernaspis sp.
Elrodooceras blakei;Dalmanites caudatus jupiterensis
Elrodooceras blakei;Bessazoon gibbae
Elrodooceras blakei;Daytonia jollieti
Elrodooceras blakei;Calymene sp.
Elrodooceras blakei;Diacalymene sp.
Elrodooceras blakei;Hadromeros sp.
Elrodooceras blakei;Radiurus adraini
Elrodooceras blakei;Distyrax maccormicki
Elrodooceras blakei;Encrinurus sp.
Elrodooceras blakei;Nucleurus anticostiensis
Elrodooceras blakei;Decoroproetus sp.
Elrodooceras blakei;Warburgella pratti
Elrodooceras blakei;Harpidella sp.
Elrodooceras blakei;Maurotarion richardsoni
Elrodooceras blakei;Aulacognathus bullatus
Elrodooceras blakei;Distomodus sp.
Elrodooceras blakei;Icriodella sp.
Elrodooceras blakei;Pterospathodus sp.
Elrodooceras blakei;Walliserodus curvatus
Elrodooceras blakei;Dapsilodus obliquicostatus
Elrodooceras blakei;Panderodus sp.
Elrodooceras blakei;Oulodus sp.
Elrodooceras blakei;Ozarkodina sp.
Elrodooceras blakei;Decoriconus sp.
Elrodooceras blakei;Pseudooneotodus beckmanni
Armenoceras sp.;Failleana wangi
Armenoceras sp.;Arctinurus sp.
Armenoceras sp.;Dalaspis sp.
Armenoceras sp.;Exallaspis sp.
Armenoceras sp.;Kettneraspis sp.
Armenoceras sp.;Stelckaspis sp.
Armenoceras sp.;Acernaspis sp.
Armenoceras sp.;Dalmanites caudatus jupiterensis
Armenoceras sp.;Bessazoon gibbae
Armenoceras sp.;Daytonia jollieti
Armenoceras sp.;Calymene sp.
Armenoceras sp.;Diacalymene sp.
Armenoceras sp.;Hadromeros sp.
Armenoceras sp.;Radiurus adraini
Armenoceras sp.;Distyrax maccormicki
Armenoceras sp.;Encrinurus sp.
Armenoceras sp.;Nucleurus anticostiensis
Armenoceras sp.;Decoroproetus sp.
Armenoceras sp.;Warburgella pratti
Armenoceras sp.;Harpidella sp.
Armenoceras sp.;Maurotarion richardsoni
Armenoceras sp.;Aulacognathus bullatus
Armenoceras sp.;Distomodus sp.
Armenoceras sp.;Icriodella sp.
Armenoceras sp.;Pterospathodus sp.
Armenoceras sp.;Walliserodus curvatus
Armenoceras sp.;Dapsilodus obliquicostatus
Armenoceras sp.;Panderodus sp.
Armenoceras sp.;Oulodus sp.
Armenoceras sp.;Ozarkodina sp.
Armenoceras sp.;Decoriconus sp.
Armenoceras sp.;Pseudooneotodus beckmanni
Huroniella timiskamingensis;Failleana wangi
Huroniella timiskamingensis;Arctinurus sp.
Huroniella timiskamingensis;Dalaspis sp.
Huroniella timiskamingensis;Exallaspis sp.
Huroniella timiskamingensis;Kettneraspis sp.
Huroniella timiskamingensis;Stelckaspis sp.
Huroniella timiskamingensis;Acernaspis sp.
Huroniella timiskamingensis;Dalmanites caudatus jupiterensis
Huroniella timiskamingensis;Bessazoon gibbae
Huroniella timiskamingensis;Daytonia jollieti
Huroniella timiskamingensis;Calymene sp.
Huroniella timiskamingensis;Diacalymene sp.
Huroniella timiskamingensis;Hadromeros sp.
Huroniella timiskamingensis;Radiurus adraini
Huroniella timiskamingensis;Distyrax maccormicki
Huroniella timiskamingensis;Encrinurus sp.
Huroniella timiskamingensis;Nucleurus anticostiensis
Huroniella timiskamingensis;Decoroproetus sp.
Huroniella timiskamingensis;Warburgella pratti
Huroniella timiskamingensis;Harpidella sp.
Huroniella timiskamingensis;Maurotarion richardsoni
Huroniella timiskamingensis;Aulacognathus bullatus
Huroniella timiskamingensis;Distomodus sp.
Huroniella timiskamingensis;Icriodella sp.
Huroniella timiskamingensis;Pterospathodus sp.
Huroniella timiskamingensis;Walliserodus curvatus
Huroniella timiskamingensis;Dapsilodus obliquicostatus
Huroniella timiskamingensis;Panderodus sp.
Huroniella timiskamingensis;Oulodus sp.
Huroniella timiskamingensis;Ozarkodina sp.
Huroniella timiskamingensis;Decoriconus sp.
Huroniella timiskamingensis;Pseudooneotodus beckmanni
Discosorus sp.;Failleana wangi
Discosorus sp.;Arctinurus sp.
Discosorus sp.;Dalaspis sp.
Discosorus sp.;Exallaspis sp.
Discosorus sp.;Kettneraspis sp.
Discosorus sp.;Stelckaspis sp.
Discosorus sp.;Acernaspis sp.
Discosorus sp.;Dalmanites caudatus jupiterensis
Discosorus sp.;Bessazoon gibbae
Discosorus sp.;Daytonia jollieti
Discosorus sp.;Calymene sp.
Discosorus sp.;Diacalymene sp.
Discosorus sp.;Hadromeros sp.
Discosorus sp.;Radiurus adraini
Discosorus sp.;Distyrax maccormicki
Discosorus sp.;Encrinurus sp.
Discosorus sp.;Nucleurus anticostiensis
Discosorus sp.;Decoroproetus sp.
Discosorus sp.;Warburgella pratti
Discosorus sp.;Harpidella sp.
Discosorus sp.;Maurotarion richardsoni
Discosorus sp.;Aulacognathus bullatus
Discosorus sp.;Distomodus sp.
Discosorus sp.;Icriodella sp.
Discosorus sp.;Pterospathodus sp.
Discosorus sp.;Walliserodus curvatus
Discosorus sp.;Dapsilodus obliquicostatus
Discosorus sp.;Panderodus sp.
Discosorus sp.;Oulodus sp.
Discosorus sp.;Ozarkodina sp.
Discosorus sp.;Decoriconus sp.
Discosorus sp.;Pseudooneotodus beckmanni
Mandaloceras sp.;Failleana wangi
Mandaloceras sp.;Arctinurus sp.
Mandaloceras sp.;Dalaspis sp.
Mandaloceras sp.;Exallaspis sp.
Mandaloceras sp.;Kettneraspis sp.
Mandaloceras sp.;Stelckaspis sp.
Mandaloceras sp.;Acernaspis sp.
Mandaloceras sp.;Dalmanites caudatus jupiterensis
Mandaloceras sp.;Bessazoon gibbae
Mandaloceras sp.;Daytonia jollieti
Mandaloceras sp.;Calymene sp.
Mandaloceras sp.;Diacalymene sp.
Mandaloceras sp.;Hadromeros sp.
Mandaloceras sp.;Radiurus adraini
Mandaloceras sp.;Distyrax maccormicki
Mandaloceras sp.;Encrinurus sp.
Mandaloceras sp.;Nucleurus anticostiensis
Mandaloceras sp.;Decoroproetus sp.
Mandaloceras sp.;Warburgella pratti
Mandaloceras sp.;Harpidella sp.
Mandaloceras sp.;Maurotarion richardsoni
Mandaloceras sp.;Aulacognathus bullatus
Mandaloceras sp.;Distomodus sp.
Mandaloceras sp.;Icriodella sp.
Mandaloceras sp.;Pterospathodus sp.
Mandaloceras sp.;Walliserodus curvatus
Mandaloceras sp.;Dapsilodus obliquicostatus
Mandaloceras sp.;Panderodus sp.
Mandaloceras sp.;Oulodus sp.
Mandaloceras sp.;Ozarkodina sp.
Mandaloceras sp.;Decoriconus sp.
Mandaloceras sp.;Pseudooneotodus beckmanni
Umbeloceras sp.;Failleana wangi
Umbeloceras sp.;Arctinurus sp.
Umbeloceras sp.;Dalaspis sp.
Umbeloceras sp.;Exallaspis sp.
Umbeloceras sp.;Kettneraspis sp.
Umbeloceras sp.;Stelckaspis sp.
Umbeloceras sp.;Acernaspis sp.
Umbeloceras sp.;Dalmanites caudatus jupiterensis
Umbeloceras sp.;Bessazoon gibbae
Umbeloceras sp.;Daytonia jollieti
Umbeloceras sp.;Calymene sp.
Umbeloceras sp.;Diacalymene sp.
Umbeloceras sp.;Hadromeros sp.
Umbeloceras sp.;Radiurus adraini
Umbeloceras sp.;Distyrax maccormicki
Umbeloceras sp.;Encrinurus sp.
Umbeloceras sp.;Nucleurus anticostiensis
Umbeloceras sp.;Decoroproetus sp.
Umbeloceras sp.;Warburgella pratti
Umbeloceras sp.;Harpidella sp.
Umbeloceras sp.;Maurotarion richardsoni
Umbeloceras sp.;Aulacognathus bullatus
Umbeloceras sp.;Distomodus sp.
Umbeloceras sp.;Icriodella sp.
Umbeloceras sp.;Pterospathodus sp.
Umbeloceras sp.;Walliserodus curvatus
Umbeloceras sp.;Dapsilodus obliquicostatus
Umbeloceras sp.;Panderodus sp.
Umbeloceras sp.;Oulodus sp.
Umbeloceras sp.;Ozarkodina sp.
Umbeloceras sp.;Decoriconus sp.
Umbeloceras sp.;Pseudooneotodus beckmanni
Phragmoceras sp.;Failleana wangi
Phragmoceras sp.;Arctinurus sp.
Phragmoceras sp.;Dalaspis sp.
Phragmoceras sp.;Exallaspis sp.
Phragmoceras sp.;Kettneraspis sp.
Phragmoceras sp.;Stelckaspis sp.
Phragmoceras sp.;Acernaspis sp.
Phragmoceras sp.;Dalmanites caudatus jupiterensis
Phragmoceras sp.;Bessazoon gibbae
Phragmoceras sp.;Daytonia jollieti
Phragmoceras sp.;Calymene sp.
Phragmoceras sp.;Diacalymene sp.
Phragmoceras sp.;Hadromeros sp.
Phragmoceras sp.;Radiurus adraini
Phragmoceras sp.;Distyrax maccormicki
Phragmoceras sp.;Encrinurus sp.
Phragmoceras sp.;Nucleurus anticostiensis
Phragmoceras sp.;Decoroproetus sp.
Phragmoceras sp.;Warburgella pratti
Phragmoceras sp.;Harpidella sp.
Phragmoceras sp.;Maurotarion richardsoni
Phragmoceras sp.;Aulacognathus bullatus
Phragmoceras sp.;Distomodus sp.
Phragmoceras sp.;Icriodella sp.
Phragmoceras sp.;Pterospathodus sp.
Phragmoceras sp.;Walliserodus curvatus
Phragmoceras sp.;Dapsilodus obliquicostatus
Phragmoceras sp.;Panderodus sp.
Phragmoceras sp.;Oulodus sp.
Phragmoceras sp.;Ozarkodina sp.
Phragmoceras sp.;Decoriconus sp.
Phragmoceras sp.;Pseudooneotodus beckmanni
Dawsonoceras hyatti;Failleana wangi
Dawsonoceras hyatti;Arctinurus sp.
Dawsonoceras hyatti;Dalaspis sp.
Dawsonoceras hyatti;Exallaspis sp.
Dawsonoceras hyatti;Kettneraspis sp.
Dawsonoceras hyatti;Stelckaspis sp.
Dawsonoceras hyatti;Acernaspis sp.
Dawsonoceras hyatti;Dalmanites caudatus jupiterensis
Dawsonoceras hyatti;Bessazoon gibbae
Dawsonoceras hyatti;Daytonia jollieti
Dawsonoceras hyatti;Calymene sp.
Dawsonoceras hyatti;Diacalymene sp.
Dawsonoceras hyatti;Hadromeros sp.
Dawsonoceras hyatti;Radiurus adraini
Dawsonoceras hyatti;Distyrax maccormicki
Dawsonoceras hyatti;Encrinurus sp.
Dawsonoceras hyatti;Nucleurus anticostiensis
Dawsonoceras hyatti;Decoroproetus sp.
Dawsonoceras hyatti;Warburgella pratti
Dawsonoceras hyatti;Harpidella sp.
Dawsonoceras hyatti;Maurotarion richardsoni
Dawsonoceras hyatti;Aulacognathus bullatus
Dawsonoceras hyatti;Distomodus sp.
Dawsonoceras hyatti;Icriodella sp.
Dawsonoceras hyatti;Pterospathodus sp.
Dawsonoceras hyatti;Walliserodus curvatus
Dawsonoceras hyatti;Dapsilodus obliquicostatus
Dawsonoceras hyatti;Panderodus sp.
Dawsonoceras hyatti;Oulodus sp.
Dawsonoceras hyatti;Ozarkodina sp.
Dawsonoceras hyatti;Decoriconus sp.
Dawsonoceras hyatti;Pseudooneotodus beckmanni
Kionoceras virgatum;Failleana wangi
Kionoceras virgatum;Arctinurus sp.
Kionoceras virgatum;Dalaspis sp.
Kionoceras virgatum;Exallaspis sp.
Kionoceras virgatum;Kettneraspis sp.
Kionoceras virgatum;Stelckaspis sp.
Kionoceras virgatum;Acernaspis sp.
Kionoceras virgatum;Dalmanites caudatus jupiterensis
Kionoceras virgatum;Bessazoon gibbae
Kionoceras virgatum;Daytonia jollieti
Kionoceras virgatum;Calymene sp.
Kionoceras virgatum;Diacalymene sp.
Kionoceras virgatum;Hadromeros sp.
Kionoceras virgatum;Radiurus adraini
Kionoceras virgatum;Distyrax maccormicki
Kionoceras virgatum;Encrinurus sp.
Kionoceras virgatum;Nucleurus anticostiensis
Kionoceras virgatum;Decoroproetus sp.
Kionoceras virgatum;Warburgella pratti
Kionoceras virgatum;Harpidella sp.
Kionoceras virgatum;Maurotarion richardsoni
Kionoceras virgatum;Aulacognathus bullatus
Kionoceras virgatum;Distomodus sp.
Kionoceras virgatum;Icriodella sp.
Kionoceras virgatum;Pterospathodus sp.
Kionoceras virgatum;Walliserodus curvatus
Kionoceras virgatum;Dapsilodus obliquicostatus
Kionoceras virgatum;Panderodus sp.
Kionoceras virgatum;Oulodus sp.
Kionoceras virgatum;Ozarkodina sp.
Kionoceras virgatum;Decoriconus sp.
Kionoceras virgatum;Pseudooneotodus beckmanni
Polygrammoceras sp.;Failleana wangi
Polygrammoceras sp.;Arctinurus sp.
Polygrammoceras sp.;Dalaspis sp.
Polygrammoceras sp.;Exallaspis sp.
Polygrammoceras sp.;Kettneraspis sp.
Polygrammoceras sp.;Stelckaspis sp.
Polygrammoceras sp.;Acernaspis sp.
Polygrammoceras sp.;Dalmanites caudatus jupiterensis
Polygrammoceras sp.;Bessazoon gibbae
Polygrammoceras sp.;Daytonia jollieti
Polygrammoceras sp.;Calymene sp.
Polygrammoceras sp.;Diacalymene sp.
Polygrammoceras sp.;Hadromeros sp.
Polygrammoceras sp.;Radiurus adraini
Polygrammoceras sp.;Distyrax maccormicki
Polygrammoceras sp.;Encrinurus sp.
Polygrammoceras sp.;Nucleurus anticostiensis
Polygrammoceras sp.;Decoroproetus sp.
Polygrammoceras sp.;Warburgella pratti
Polygrammoceras sp.;Harpidella sp.
Polygrammoceras sp.;Maurotarion richardsoni
Polygrammoceras sp.;Aulacognathus bullatus
Polygrammoceras sp.;Distomodus sp.
Polygrammoceras sp.;Icriodella sp.
